Fixed words of length 7 (count=2025):
w=0010000, g(w)=0010000
w=0010001, g(w)=0010001
w=0010002, g(w)=0010002
w=0010010, g(w)=0010010
w=0010011, g(w)=0010011
w=0010012, g(w)=0010012
w=0010020, g(w)=0010020
w=0010021, g(w)=0010021
w=0010022, g(w)=0010022
w=0010100, g(w)=0010100
w=0010101, g(w)=0010101
w=0010102, g(w)=0010102
w=0010110, g(w)=0010110
w=0010111, g(w)=0010111
w=0010112, g(w)=0010112
w=0010120, g(w)=0010120
w=0010121, g(w)=0010121
w=0010122, g(w)=0010122
w=0010200, g(w)=0010200
w=0010201, g(w)=0010201
w=0010202, g(w)=0010202
w=0010210, g(w)=0010210
w=0010211, g(w)=0010211
w=0010212, g(w)=0010212
w=0010220, g(w)=0010220
w=0010221, g(w)=0010221
w=0010222, g(w)=0010222
w=0011000, g(w)=0011000
w=0011001, g(w)=0011001
w=0011002, g(w)=0011002
w=0011010, g(w)=0011010
w=0011011, g(w)=0011011
w=0011012, g(w)=0011012
w=0011020, g(w)=0011020
w=0011021, g(w)=0011021
w=0011022, g(w)=0011022
w=0011100, g(w)=0011100
w=0011101, g(w)=0011101
w=0011102, g(w)=0011102
w=0011110, g(w)=0011110
w=0011111, g(w)=0011111
w=0011112, g(w)=0011112
w=0011120, g(w)=0011120
w=0011121, g(w)=0011121
w=0011122, g(w)=0011122
w=0011200, g(w)=0011200
w=0011201, g(w)=0011201
w=0011202, g(w)=0011202
w=0011210, g(w)=0011210
w=0011211, g(w)=0011211
w=0011212, g(w)=0011212
w=0011220, g(w)=0011220
w=0011221, g(w)=0011221
w=0011222, g(w)=0011222
w=0012000, g(w)=0012000
w=0012001, g(w)=0012001
w=0012002, g(w)=0012002
w=0012010, g(w)=0012010
w=0012011, g(w)=0012011
w=0012012, g(w)=0012012
w=0012020, g(w)=0012020
w=0012021, g(w)=0012021
w=0012022, g(w)=0012022
w=0012100, g(w)=0012100
w=0012101, g(w)=0012101
w=0012102, g(w)=0012102
w=0012110, g(w)=0012110
w=0012111, g(w)=0012111
w=0012112, g(w)=0012112
w=0012120, g(w)=0012120
w=0012121, g(w)=0012121
w=0012122, g(w)=0012122
w=0012200, g(w)=0012200
w=0012201, g(w)=0012201
w=0012202, g(w)=0012202
w=0012210, g(w)=0012210
w=0012211, g(w)=0012211
w=0012212, g(w)=0012212
w=0012220, g(w)=0012220
w=0012221, g(w)=0012221
w=0012222, g(w)=0012222
w=0020000, g(w)=0020000
w=0020001, g(w)=0020001
w=0020002, g(w)=0020002
w=0020010, g(w)=0020010
w=0020011, g(w)=0020011
w=0020012, g(w)=0020012
w=0020020, g(w)=0020020
w=0020021, g(w)=0020021
w=0020022, g(w)=0020022
w=0020200, g(w)=0020200
w=0020201, g(w)=0020201
w=0020202, g(w)=0020202
w=0020210, g(w)=0020210
w=0020211, g(w)=0020211
w=0020212, g(w)=0020212
w=0020220, g(w)=0020220
w=0020221, g(w)=0020221
w=0020222, g(w)=0020222
w=0021000, g(w)=0021000
w=0021001, g(w)=0021001
w=0021002, g(w)=0021002
w=0021010, g(w)=0021010
w=0021011, g(w)=0021011
w=0021012, g(w)=0021012
w=0021020, g(w)=0021020
w=0021021, g(w)=0021021
w=0021022, g(w)=0021022
w=0021200, g(w)=0021200
w=0021201, g(w)=0021201
w=0021202, g(w)=0021202
w=0021210, g(w)=0021210
w=0021211, g(w)=0021211
w=0021212, g(w)=0021212
w=0021220, g(w)=0021220
w=0021221, g(w)=0021221
w=0021222, g(w)=0021222
w=0022000, g(w)=0022000
w=0022001, g(w)=0022001
w=0022002, g(w)=0022002
w=0022010, g(w)=0022010
w=0022011, g(w)=0022011
w=0022012, g(w)=0022012
w=0022020, g(w)=0022020
w=0022021, g(w)=0022021
w=0022022, g(w)=0022022
w=0022200, g(w)=0022200
w=0022201, g(w)=0022201
w=0022202, g(w)=0022202
w=0022210, g(w)=0022210
w=0022211, g(w)=0022211
w=0022212, g(w)=0022212
w=0022220, g(w)=0022220
w=0022221, g(w)=0022221
w=0022222, g(w)=0022222
w=0100000, g(w)=0100000
w=0100001, g(w)=0100001
w=0100002, g(w)=0100002
w=0100010, g(w)=0100010
w=0100011, g(w)=0100011
w=0100012, g(w)=0100012
w=0100020, g(w)=0100020
w=0100021, g(w)=0100021
w=0100022, g(w)=0100022
w=0100100, g(w)=0100100
w=0100101, g(w)=0100101
w=0100102, g(w)=0100102
w=0100110, g(w)=0100110
w=0100111, g(w)=0100111
w=0100112, g(w)=0100112
w=0100120, g(w)=0100120
w=0100121, g(w)=0100121
w=0100122, g(w)=0100122
w=0100200, g(w)=0100200
w=0100201, g(w)=0100201
w=0100202, g(w)=0100202
w=0100210, g(w)=0100210
w=0100211, g(w)=0100211
w=0100212, g(w)=0100212
w=0100220, g(w)=0100220
w=0100221, g(w)=0100221
w=0100222, g(w)=0100222
w=0101000, g(w)=0101000
w=0101001, g(w)=0101001
w=0101002, g(w)=0101002
w=0101010, g(w)=0101010
w=0101011, g(w)=0101011
w=0101012, g(w)=0101012
w=0101020, g(w)=0101020
w=0101021, g(w)=0101021
w=0101022, g(w)=0101022
w=0101100, g(w)=0101100
w=0101101, g(w)=0101101
w=0101102, g(w)=0101102
w=0101110, g(w)=0101110
w=0101111, g(w)=0101111
w=0101112, g(w)=0101112
w=0101120, g(w)=0101120
w=0101121, g(w)=0101121
w=0101122, g(w)=0101122
w=0101200, g(w)=0101200
w=0101201, g(w)=0101201
w=0101202, g(w)=0101202
w=0101210, g(w)=0101210
w=0101211, g(w)=0101211
w=0101212, g(w)=0101212
w=0101220, g(w)=0101220
w=0101221, g(w)=0101221
w=0101222, g(w)=0101222
w=0102000, g(w)=0102000
w=0102001, g(w)=0102001
w=0102002, g(w)=0102002
w=0102010, g(w)=0102010
w=0102011, g(w)=0102011
w=0102012, g(w)=0102012
w=0102020, g(w)=0102020
w=0102021, g(w)=0102021
w=0102022, g(w)=0102022
w=0102100, g(w)=0102100
w=0102101, g(w)=0102101
w=0102102, g(w)=0102102
w=0102110, g(w)=0102110
w=0102111, g(w)=0102111
w=0102112, g(w)=0102112
w=0102120, g(w)=0102120
w=0102121, g(w)=0102121
w=0102122, g(w)=0102122
w=0102200, g(w)=0102200
w=0102201, g(w)=0102201
w=0102202, g(w)=0102202
w=0102210, g(w)=0102210
w=0102211, g(w)=0102211
w=0102212, g(w)=0102212
w=0102220, g(w)=0102220
w=0102221, g(w)=0102221
w=0102222, g(w)=0102222
w=0110000, g(w)=0110000
w=0110001, g(w)=0110001
w=0110002, g(w)=0110002
w=0110010, g(w)=0110010
w=0110011, g(w)=0110011
w=0110012, g(w)=0110012
w=0110020, g(w)=0110020
w=0110021, g(w)=0110021
w=0110022, g(w)=0110022
w=0110100, g(w)=0110100
w=0110101, g(w)=0110101
w=0110102, g(w)=0110102
w=0110110, g(w)=0110110
w=0110111, g(w)=0110111
w=0110112, g(w)=0110112
w=0110120, g(w)=0110120
w=0110121, g(w)=0110121
w=0110122, g(w)=0110122
w=0110200, g(w)=0110200
w=0110201, g(w)=0110201
w=0110202, g(w)=0110202
w=0110210, g(w)=0110210
w=0110211, g(w)=0110211
w=0110212, g(w)=0110212
w=0110220, g(w)=0110220
w=0110221, g(w)=0110221
w=0110222, g(w)=0110222
w=0111000, g(w)=0111000
w=0111001, g(w)=0111001
w=0111002, g(w)=0111002
w=0111010, g(w)=0111010
w=0111011, g(w)=0111011
w=0111012, g(w)=0111012
w=0111020, g(w)=0111020
w=0111021, g(w)=0111021
w=0111022, g(w)=0111022
w=0111100, g(w)=0111100
w=0111101, g(w)=0111101
w=0111102, g(w)=0111102
w=0111110, g(w)=0111110
w=0111111, g(w)=0111111
w=0111112, g(w)=0111112
w=0111120, g(w)=0111120
w=0111121, g(w)=0111121
w=0111122, g(w)=0111122
