g | n1 | w1g | n2 | w2g
--------------------------------------------------
[('b', 5), ('a', 3), ('b', -5), ('a', 3), ('b', -3)] | 34 | 0011122010222111112202022211122202 | 6 | 000000
[('b', 2), ('a', 4), ('b', 4), ('a', 3), ('b', -3)] | 34 | 0011220101022111102201022211122202 | 4 | 0000
[('a', -2), ('b', -2), ('a', -2), ('b', -4), ('a', -1)] | 33 | 000122121122020122121102202002212 | 4 | 0000
[('a', 4), ('b', 2), ('a', -1), ('b', -1), ('a', -5)] | 34 | 0001022111122010022121022020112212 | 4 | 0000
[('a', 1), ('b', 2), ('a', -2), ('b', 4), ('a', -1)] | 33 | 000022111122010122121102201002212 | 4 | 0000
[('b', -4), ('a', 2), ('b', -2), ('a', 4), ('b', 1)] | 34 | 0011022020122111122020102211102201 | 4 | 1010
[('b', 5), ('a', -3), ('b', 5), ('a', 4), ('b', -2)] | 35 | 00111220102221211122010102211112202 | 4 | 0000
[('a', 1), ('b', 1), ('a', 1), ('b', 3), ('a', -3)] | 32 | 00002211102201002211122201022212 | 4 | 0000
[('b', 5), ('a', -5), ('b', -5), ('a', 5), ('b', 1)] | 36 | 001112201011221211122020112211102201 | 4 | 1010
[('b', -2), ('a', -1), ('b', 1), ('a', 5), ('b', -1)] | 33 | 001122020022121022010112211102202 | 4 | 0000
[('b', -2), ('a', 1), ('b', 2), ('a', 3), ('b', -4)] | 33 | 001122020022111122010222111102202 | 4 | 0000
[('a', -3), ('b', -4), ('a', 3), ('b', -1), ('a', 4)] | 34 | 0002221211022020222111022020102211 | 4 | 0000
[('a', -1), ('b', -1), ('a', -5), ('b', -2), ('a', -5)] | 34 | 0000221210220201122121122020112212 | 4 | 0000
[('a', -2), ('b', -5), ('a', 5), ('b', -2), ('a', -5)] | 35 | 00012212111220201122111122020112212 | 4 | 0000
[('a', -1), ('b', -2), ('a', -1), ('b', 3), ('a', -2)] | 32 | 00002212112202002212122201012212 | 4 | 0000
[('b', -2), ('a', -4), ('b', 1), ('a', 1), ('b', -3)] | 33 | 001122020102212102201002211122202 | 4 | 1010
[('b', 3), ('a', -1), ('b', -3), ('a', 3), ('b', -1)] | 32 | 00122201002212122202022211102202 | 4 | 0000
[('b', -2), ('a', 1), ('b', 3), ('a', 4), ('b', -1)] | 33 | 001122020022111222010102211102202 | 4 | 0000
[('a', -3), ('b', 3), ('a', 1), ('b', 4), ('a', 3)] | 33 | 000222121222010022111102201022211 | 4 | 0000
[('a', 2), ('b', 1), ('a', -1), ('b', -2), ('a', -1)] | 32 | 00012211102201002212112202002212 | 4 | 1010
[('b', 5), ('a', 4), ('b', -5), ('a', 1), ('b', -2)] | 35 | 00111220101022111112202002211112202 | 4 | 0000
[('a', 3), ('b', 3), ('a', -3), ('b', -3), ('a', 3)] | 32 | 00022211122201022212122202022211 | 6 | 000000
[('a', -3), ('b', 3), ('a', -3), ('b', -2), ('a', -5)] | 33 | 000222121222010222121122020112212 | 4 | 0000
[('b', -5), ('a', -1), ('b', 3), ('a', 1), ('b', 4)] | 34 | 0011122020022121222010022111102201 | 4 | 1010
[('b', 3), ('a', -5), ('b', -4), ('a', 2), ('b', 1)] | 34 | 0012220101122121102202012211102201 | 6 | 000000
[('a', 3), ('b', -5), ('a', -5), ('b', 1), ('a', 2)] | 34 | 0002221111122020112212102201012211 | 4 | 1010
[('a', -2), ('b', -2), ('a', -4), ('b', 3), ('a', -2)] | 33 | 000122121122020102212122201012212 | 4 | 0000
[('a', -2), ('b', -1), ('a', 5), ('b', 5), ('a', 4)] | 35 | 00012212102202011221111122010102211 | 4 | 0000
[('a', 3), ('b', 3), ('a', 3), ('b', -4), ('a', -4)] | 34 | 0002221112220102221111022020102212 | 4 | 0000
[('a', -1), ('b', -1), ('a', 2), ('b', -5), ('a', 5)] | 34 | 0000221210220201221111122020112211 | 6 | 000000
[('b', 1), ('a', -2), ('b', 2), ('a', 3), ('b', 3)] | 32 | 00102201012212112201022211122201 | 4 | 0000
[('b', 1), ('a', 5), ('b', 2), ('a', 1), ('b', 3)] | 33 | 001022010112211112201002211122201 | 6 | 000000
[('b', 5), ('a', 4), ('b', 1), ('a', 2), ('b', -5)] | 35 | 00111220101022111022010122111112202 | 4 | 1010
[('b', -3), ('a', 3), ('b', -5), ('a', 2), ('b', 4)] | 34 | 0012220202221111122020122111102201 | 4 | 0000
[('b', -1), ('a', -1), ('b', -4), ('a', -2), ('b', 4)] | 34 | 0010220200221211022020122121102201 | 4 | 1010
[('b', -4), ('a', 4), ('b', 4), ('a', 5), ('b', 4)] | 37 | 0011022020102211110220101122111102201 | 4 | 1010
[('b', -1), ('a', -2), ('b', -1), ('a', -2), ('b', 5)] | 33 | 001022020122121022020122121112201 | 4 | 0000
[('b', 2), ('a', 2), ('b', -4), ('a', -4), ('b', 5)] | 35 | 00112201012211110220201022121112201 | 4 | 0000
[('a', -4), ('b', -3), ('a', 2), ('b', -3), ('a', 1)] | 33 | 000102212122202012211122202002211 | 4 | 0000
[('b', -5), ('a', 3), ('b', -3), ('a', -3), ('b', -5)] | 34 | 0011122020222111222020222121112202 | 4 | 1010
[('a', -1), ('b', -3), ('a', -5), ('b', -3), ('a', -4)] | 34 | 0000221212220201122121222020102212 | 4 | 0000
[('a', 1), ('b', 4), ('a', -4), ('b', 5), ('a', -3)] | 35 | 00002211110220101022121112201022212 | 6 | 000000
[('a', -4), ('b', 3), ('a', -5), ('b', 5), ('a', 5)] | 36 | 000102212122201011221211122010112211 | 4 | 0000
[('b', -1), ('a', 3), ('b', -1), ('a', -4), ('b', 4)] | 34 | 0010220202221110220201022121102201 | 4 | 0000
[('a', -1), ('b', -2), ('a', -1), ('b', 4), ('a', -2)] | 33 | 000022121122020022121102201012212 | 4 | 0000
[('b', -2), ('a', -2), ('b', 1), ('a', -1), ('b', 4)] | 33 | 001122020122121022010022121102201 | 6 | 000000
[('b', 4), ('a', -2), ('b', -4), ('a', 1), ('b', 2)] | 34 | 0011022010122121102202002211112201 | 4 | 0000
[('b', -1), ('a', -4), ('b', -3), ('a', 5), ('b', -1)] | 34 | 0010220201022121222020112211102202 | 4 | 0000
[('b', 5), ('a', 2), ('b', 2), ('a', 5), ('b', -2)] | 34 | 0011122010122111122010112211112202 | 4 | 0000
[('b', -4), ('a', -1), ('b', -2), ('a', -2), ('b', -2)] | 33 | 001102202002212112202012212112202 | 4 | 1010
[('b', 2), ('a', 5), ('b', 3), ('a', 2), ('b', -3)] | 33 | 001122010112211122201012211122202 | 4 | 0000
[('a', 4), ('b', 4), ('a', -3), ('b', -4), ('a', 3)] | 35 | 00010221111022010222121102202022211 | 4 | 0000
[('a', -3), ('b', -4), ('a', -1), ('b', -4), ('a', -3)] | 34 | 0002221211022020022121102202022212 | 4 | 0000
[('b', 1), ('a', 2), ('b', -3), ('a', 4), ('b', 2)] | 33 | 001022010122111222020102211112201 | 6 | 000000
[('b', 2), ('a', 1), ('b', -2), ('a', -3), ('b', -1)] | 32 | 00112201002211112202022212102202 | 4 | 0000
[('b', 1), ('a', 5), ('b', 4), ('a', -5), ('b', 2)] | 35 | 00102201011221111022010112212112201 | 4 | 1010
[('b', -3), ('a', -2), ('b', -2), ('a', -5), ('b', -1)] | 33 | 001222020122121122020112212102202 | 4 | 0000
[('b', -4), ('a', 1), ('b', -4), ('a', 4), ('b', 4)] | 36 | 001102202002211110220201022111102201 | 4 | 0000
[('a', -5), ('b', -1), ('a', -5), ('b', 3), ('a', -3)] | 34 | 0001122121022020112212122201022212 | 4 | 0000
[('b', -5), ('a', -5), ('b', 1), ('a', 3), ('b', -2)] | 34 | 0011122020112212102201022211112202 | 4 | 0000
[('a', 3), ('b', -2), ('a', -3), ('b', 2), ('a', 3)] | 32 | 00022211112202022212112201022211 | 6 | 000000
[('a', 1), ('b', 2), ('a', -5), ('b', -2), ('a', -5)] | 34 | 0000221111220101122121122020112212 | 8 | 00000000
[('a', -4), ('b', 5), ('a', -5), ('b', 1), ('a', 2)] | 35 | 00010221211122010112212102201012211 | 4 | 0000
[('b', -5), ('a', -4), ('b', -3), ('a', 1), ('b', 3)] | 34 | 0011122020102212122202002211122201 | 4 | 1010
[('a', 5), ('b', 1), ('a', -5), ('b', -5), ('a', 2)] | 35 | 00011221110220101122121112202012211 | 4 | 0000
[('a', -5), ('b', 4), ('a', -2), ('b', -5), ('a', -4)] | 36 | 000112212110220101221211122020102212 | 4 | 0000
[('b', 5), ('a', 5), ('b', 1), ('a', -3), ('b', -1)] | 34 | 0011122010112211102201022212102202 | 4 | 0000
[('a', 1), ('b', 3), ('a', 1), ('b', -2), ('a', -2)] | 32 | 00002211122201002211112202012212 | 4 | 1010
[('b', -3), ('a', -2), ('b', -3), ('a', 3), ('b', -4)] | 33 | 001222020122121222020222111102202 | 4 | 0000
[('a', -2), ('b', 3), ('a', 1), ('b', 4), ('a', -1)] | 33 | 000122121222010022111102201002212 | 4 | 0000
[('a', 3), ('b', -5), ('a', 4), ('b', -2), ('a', -3)] | 34 | 0002221111122020102211112202022212 | 4 | 0000
[('a', 3), ('b', -3), ('a', 2), ('b', -3), ('a', 4)] | 33 | 000222111222020122111222020102211 | 6 | 101010
[('b', 2), ('a', 2), ('b', 2), ('a', -4), ('b', 1)] | 33 | 001122010122111122010102212102201 | 4 | 0000
[('b', -2), ('a', 1), ('b', 5), ('a', -4), ('b', -4)] | 35 | 00112202002211111220101022121102202 | 4 | 1010
[('b', -4), ('a', 3), ('b', 1), ('a', -5), ('b', -4)] | 35 | 00110220202221110220101122121102202 | 4 | 0000
[('a', -5), ('b', 5), ('a', -4), ('b', -3), ('a', 4)] | 36 | 000112212111220101022121222020102211 | 4 | 0000
[('a', -5), ('b', 2), ('a', 4), ('b', 3), ('a', -1)] | 34 | 0001122121122010102211122201002212 | 4 | 0000
[('a', 1), ('b', -3), ('a', -1), ('b', -4), ('a', 2)] | 33 | 000022111222020022121102202012211 | 4 | 0000
[('a', 5), ('b', 4), ('a', 4), ('b', -1), ('a', -3)] | 35 | 00011221111022010102211102202022212 | 6 | 000000
[('a', -5), ('b', -4), ('a', -2), ('b', -4), ('a', -5)] | 36 | 000112212110220201221211022020112212 | 4 | 1010
[('a', -1), ('b', -3), ('a', -2), ('b', -4), ('a', 2)] | 33 | 000022121222020122121102202012211 | 4 | 0000
[('a', 1), ('b', 3), ('a', 1), ('b', 5), ('a', -1)] | 33 | 000022111222010022111112201002212 | 4 | 0000
[('a', 5), ('b', -1), ('a', 1), ('b', -2), ('a', 3)] | 33 | 000112211102202002211112202022211 | 6 | 101010
[('b', -3), ('a', -4), ('b', 2), ('a', -4), ('b', 5)] | 35 | 00122202010221211220101022121112201 | 4 | 0000
[('a', 1), ('b', -3), ('a', -5), ('b', -4), ('a', -3)] | 34 | 0000221112220201122121102202022212 | 4 | 0000
[('b', -3), ('a', 2), ('b', 3), ('a', 4), ('b', 4)] | 34 | 0012220201221112220101022111102201 | 4 | 1010
[('b', -4), ('a', -3), ('b', -1), ('a', 5), ('b', 5)] | 35 | 00110220202221210220201122111112201 | 4 | 0000
[('a', -1), ('b', 2), ('a', -5), ('b', 1), ('a', 5)] | 34 | 0000221211220101122121022010112211 | 4 | 0000
[('a', -1), ('b', 2), ('a', -1), ('b', 5), ('a', -1)] | 33 | 000022121122010022121112201002212 | 4 | 1010
[('b', 2), ('a', -2), ('b', 2), ('a', 4), ('b', 5)] | 34 | 0011220101221211220101022111112201 | 4 | 0000
[('b', -5), ('a', 1), ('b', 2), ('a', -4), ('b', 2)] | 34 | 0011122020022111122010102212112201 | 4 | 1010
[('a', 5), ('b', -5), ('a', 1), ('b', 5), ('a', -1)] | 35 | 00011221111122020022111112201002212 | 4 | 0000
[('b', -5), ('a', 3), ('b', 4), ('a', 1), ('b', -5)] | 35 | 00111220202221111022010022111112202 | 4 | 0000
[('a', 1), ('b', -3), ('a', -3), ('b', 3), ('a', 5)] | 33 | 000022111222020222121222010112211 | 6 | 000000
[('b', 5), ('a', 3), ('b', -4), ('a', -3), ('b', -5)] | 35 | 00111220102221111022020222121112202 | 4 | 1010
[('b', -3), ('a', 3), ('b', -5), ('a', 5), ('b', -4)] | 35 | 00122202022211111220201122111102202 | 4 | 0000
[('a', -5), ('b', -2), ('a', 4), ('b', 3), ('a', 2)] | 34 | 0001122121122020102211122201012211 | 4 | 0000
[('b', -3), ('a', 2), ('b', -2), ('a', 3), ('b', 1)] | 32 | 00122202012211112202022211102201 | 4 | 0000
[('b', 2), ('a', -3), ('b', -3), ('a', -2), ('b', -2)] | 32 | 00112201022212122202012212112202 | 4 | 0000
[('b', -2), ('a', -4), ('b', -1), ('a', 3), ('b', -4)] | 34 | 0011220201022121022020222111102202 | 4 | 0000
[('a', 1), ('b', -1), ('a', 5), ('b', 2), ('a', -3)] | 33 | 000022111022020112211112201022212 | 4 | 1010
[('a', -5), ('b', -4), ('a', -3), ('b', -2), ('a', -2)] | 34 | 0001122121102202022212112202012212 | 4 | 0000
[('a', -4), ('b', -4), ('a', -2), ('b', -1), ('a', 2)] | 34 | 0001022121102202012212102202012211 | 4 | 0000
[('b', 3), ('a', 2), ('b', -2), ('a', -4), ('b', -1)] | 33 | 001222010122111122020102212102202 | 4 | 0000
