g = [('b', -12), ('a', -1), ('b', 7), ('a', 13), ('b', -17), ('a', -9), ('b', -19), ('a', 1), ('b', -20), ('a', 15), ('b', 13), ('a', -9), ('b', 19), ('a', -4), ('b', -11), ('a', 20), ('b', -16), ('a', 3), ('b', 15), ('a', -11)] n=7, fixed words = 2025
g = [('b', -3), ('a', -8), ('b', -15), ('a', -11), ('b', 5), ('a', 5), ('b', -6), ('a', -7), ('b', -17), ('a', -2), ('b', -7), ('a', 15), ('b', -20), ('a', 4), ('b', 9), ('a', 7), ('b', 13), ('a', -10), ('b', 7), ('a', -3)] n=7, fixed words = 1863
g = [('b', 2), ('a', -12), ('b', -4), ('a', -15), ('b', 2), ('a', 18), ('b', -11), ('a', -3), ('b', 9), ('a', -20), ('b', -7), ('a', 15), ('b', 6), ('a', -11), ('b', -10), ('a', -4), ('b', -14), ('a', -9), ('b', 5), ('a', 11)] n=7, fixed words = 1998
g = [('b', 5), ('a', 20), ('b', -2), ('a', 13), ('b', -11), ('a', 4), ('b', -7), ('a', 6), ('b', 12), ('a', -18), ('b', 2), ('a', -8), ('b', -10), ('a', 3), ('b', 2), ('a', -1), ('b', 20), ('a', 16), ('b', 18), ('a', 13)] n=7, fixed words = 1998
g = [('b', 15), ('a', 4), ('b', 3), ('a', 17), ('b', 12), ('a', -9), ('b', -19), ('a', 16), ('b', -1), ('a', -16), ('b', 14), ('a', -1), ('b', -12), ('a', 14), ('b', -8), ('a', 6), ('b', 2), ('a', 17), ('b', 12), ('a', -11)] n=7, fixed words = 2025
g = [('b', 16), ('a', -7), ('b', -18), ('a', 10), ('b', 5), ('a', -10), ('b', 2), ('a', -11), ('b', 12), ('a', 12), ('b', 5), ('a', -10), ('b', -16), ('a', -14), ('b', -19), ('a', 15), ('b', 1), ('a', 18), ('b', -6), ('a', 6)] n=7, fixed words = 2187
g = [('b', -15), ('a', 1), ('b', -18), ('a', -2), ('b', 4), ('a', -10), ('b', 8), ('a', 7), ('b', 20), ('a', 7), ('b', -10), ('a', 8), ('b', 14), ('a', -5), ('b', 10), ('a', -4), ('b', -13), ('a', -3), ('b', 8), ('a', -1)] n=7, fixed words = 1863
g = [('b', -6), ('a', -12), ('b', -13), ('a', -4), ('b', 9), ('a', 5), ('b', -2), ('a', 1), ('b', 14), ('a', 10), ('b', 15), ('a', -13), ('b', -11), ('a', 19), ('b', 15), ('a', -7), ('b', 8), ('a', 15), ('b', -17), ('a', -20)] n=7, fixed words = 2133
g = [('b', 14), ('a', 15), ('b', -6), ('a', 11), ('b', -16), ('a', -19), ('b', -14), ('a', 1), ('b', -2), ('a', 1), ('b', -7), ('a', 1), ('b', -13), ('a', 4), ('b', 15), ('a', 12), ('b', -5), ('a', -12), ('b', 20), ('a', -7)] n=7, fixed words = 1863
g = [('a', -18), ('b', 9), ('a', -13), ('b', -7), ('a', 8), ('b', -11), ('a', -9), ('b', 20), ('a', 4), ('b', -13), ('a', 8), ('b', 11), ('a', -13), ('b', -10), ('a', -18), ('b', 11), ('a', 12), ('b', -20), ('a', -19), ('b', 19)] n=7, fixed words = 2025
g = [('b', 10), ('a', -14), ('b', 5), ('a', -19), ('b', -17), ('a', -17), ('b', 19), ('a', -20), ('b', -9), ('a', -8), ('b', 6), ('a', 4), ('b', 11), ('a', -12), ('b', 5), ('a', 12), ('b', -16), ('a', -7), ('b', -13), ('a', -18)] n=7, fixed words = 2025
