g = [('b', 9), ('a', -16), ('b', 5), ('a', -11), ('b', -6), ('a', 3), ('b', 14), ('a', -16), ('b', 13), ('a', -13), ('b', 18), ('a', -15), ('b', -10), ('a', 1), ('b', -10), ('a', 14), ('b', 15), ('a', -8), ('b', 1), ('a', 17)] n=10, fixed words = 44271
g = [('a', 2), ('b', -19), ('a', -15), ('b', 10), ('a', 7), ('b', 9), ('a', 8), ('b', -12), ('a', -7), ('b', 7), ('a', -7), ('b', -19), ('a', 20), ('b', 2), ('a', -9), ('b', -7), ('a', 5), ('b', -15), ('a', -14), ('b', -6)] n=10, fixed words = 44271
g = [('a', -5), ('b', 11), ('a', -8), ('b', 16), ('a', -9), ('b', 1), ('a', 13), ('b', 18), ('a', 11), ('b', -13), ('a', -4), ('b', 18), ('a', -11), ('b', 14), ('a', 8), ('b', 7), ('a', 17), ('b', 5), ('a', 15), ('b', 1)] n=10, fixed words = 56754
g = [('b', -12), ('a', 4), ('b', -1), ('a', -5), ('b', -10), ('a', -15), ('b', 9), ('a', -19), ('b', 13), ('a', -6), ('b', 19), ('a', 14), ('b', 7), ('a', -1), ('b', -17), ('a', -5), ('b', -17), ('a', 5), ('b', -6), ('a', -19)] n=10, fixed words = 49005
g = [('a', 20), ('b', -12), ('a', -14), ('b', -6), ('a', -9), ('b', 14), ('a', 10), ('b', -5), ('a', -17), ('b', 17), ('a', 18), ('b', -17), ('a', -8), ('b', -6), ('a', 13), ('b', 17), ('a', -19), ('b', 10), ('a', 17), ('b', -9)] n=10, fixed words = 49329
g = [('a', -12), ('b', -6), ('a', -14), ('b', 16), ('a', 12), ('b', 15), ('a', -1), ('b', 3), ('a', 17), ('b', 14), ('a', 2), ('b', 14), ('a', 12), ('b', 19), ('a', -6), ('b', 14), ('a', -16), ('b', 4), ('a', -11), ('b', -6)] n=10, fixed words = 49005
g = [('a', 11), ('b', -8), ('a', 3), ('b', 19), ('a', 9), ('b', 14), ('a', 16), ('b', 5), ('a', -13), ('b', -14), ('a', 4), ('b', -7), ('a', -5), ('b', -15), ('a', 11), ('b', 16), ('a', -15), ('b', -1), ('a', -2), ('b', 17)] n=10, fixed words = 44271
g = [('a', 17), ('b', 18), ('a', 15), ('b', 17), ('a', 4), ('b', -17), ('a', -10), ('b', -14), ('a', 16), ('b', 14), ('a', 4), ('b', 8), ('a', -13), ('b', -11), ('a', 16), ('b', -6), ('a', 18), ('b', 7), ('a', 20), ('b', 17)] n=10, fixed words = 54864
g = [('a', -20), ('b', -8), ('a', 11), ('b', 15), ('a', 1), ('b', -6), ('a', -8), ('b', 13), ('a', 20), ('b', 14), ('a', -5), ('b', -6), ('a', 15), ('b', 19), ('a', -4), ('b', 5), ('a', 12), ('b', 19), ('a', -13), ('b', 4)] n=10, fixed words = 55746
g = [('a', 1), ('b', -20), ('a', 9), ('b', 10), ('a', -13), ('b', -16), ('a', -3), ('b', 2), ('a', 8), ('b', -8), ('a', 19), ('b', 11), ('a', 18), ('b', -4), ('a', 18), ('b', 19), ('a', -1), ('b', 18), ('a', -16), ('b', -13)] n=10, fixed words = 44271
g = [('b', -12), ('a', -14), ('b', 5), ('a', -18), ('b', 7), ('a', -4), ('b', -1), ('a', -16), ('b', -18), ('a', -20), ('b', 4), ('a', 11), ('b', 18), ('a', -11), ('b', -15), ('a', 16), ('b', 8), ('a', 8), ('b', 17), ('a', 1)] n=10, fixed words = 44271
g = [('a', -5), ('b', 18), ('a', -3), ('b', -1), ('a', -11), ('b', 13), ('a', -15), ('b', 19), ('a', -18), ('b', -9), ('a', 16), ('b', 16), ('a', 17), ('b', 20), ('a', -7), ('b', -10), ('a', -3), ('b', 4), ('a', -14), ('b', 20)] n=10, fixed words = 50607
