g = [('b', -6), ('a', 8), ('b', 7), ('a', -8), ('b', -15), ('a', -6), ('b', -9), ('a', -7), ('b', 14), ('a', -2), ('b', -10), ('a', 1), ('b', 8), ('a', 2), ('b', 3)] n=15, fixed words = 10990323
g = [('b', -11), ('a', -1), ('b', -14), ('a', -5), ('b', -7), ('a', -12), ('b', -5), ('a', -8), ('b', 9), ('a', 3), ('b', 8), ('a', -14), ('b', -1), ('a', 15), ('b', -6)] n=15, fixed words = 11665458
g = [('b', 12), ('a', 9), ('b', -5), ('a', 1), ('b', -2), ('a', -10), ('b', 3), ('a', -7), ('b', -12), ('a', 4), ('b', 3), ('a', -8), ('b', -1), ('a', 13), ('b', 7)] n=15, fixed words = 9568503
g = [('a', 9), ('b', 13), ('a', 5), ('b', -12), ('a', -13), ('b', 9), ('a', -1), ('b', -12), ('a', 15), ('b', -9), ('a', -13), ('b', -11), ('a', 8), ('b', 11), ('a', 9)] n=15, fixed words = 9568503
g = [('b', 1), ('a', 6), ('b', 5), ('a', 10), ('b', -5), ('a', -8), ('b', -14), ('a', -1), ('b', -6), ('a', 7), ('b', -8), ('a', 9), ('b', -4), ('a', 14), ('b', 12)] n=15, fixed words = 9568503
g = [('a', 10), ('b', -5), ('a', -12), ('b', -13), ('a', -11), ('b', 11), ('a', -4), ('b', 15), ('a', -6), ('b', 12), ('a', 5), ('b', 6), ('a', -6), ('b', 12), ('a', 4)] n=15, fixed words = 9568503
g = [('a', -14), ('b', 13), ('a', -14), ('b', -8), ('a', 14), ('b', -15), ('a', 13), ('b', 11), ('a', -8), ('b', -4), ('a', -3), ('b', 9), ('a', 14), ('b', 9), ('a', -8)] n=15, fixed words = 12542688
g = [('a', -5), ('b', -6), ('a', 5), ('b', 8), ('a', -5), ('b', -8), ('a', -14), ('b', 15), ('a', -6), ('b', -12), ('a', 5), ('b', 10), ('a', -12), ('b', 7), ('a', 5)] n=15, fixed words = 11639457
g = [('b', 1), ('a', -2), ('b', 2), ('a', -1), ('b', -13), ('a', -2), ('b', -5), ('a', -2), ('b', -15), ('a', -10), ('b', -15), ('a', -11), ('b', -5), ('a', 7), ('b', 14)] n=15, fixed words = 13030065
g = [('b', 14), ('a', -1), ('b', 10), ('a', -14), ('b', 10), ('a', 10), ('b', 5), ('a', 9), ('b', -4), ('a', 4), ('b', -6), ('a', 12), ('b', 7), ('a', -11), ('b', 2)] n=15, fixed words = 11401884
g = [('a', 6), ('b', 8), ('a', -2), ('b', 10), ('a', -12), ('b', 4), ('a', 5), ('b', 10), ('a', -15), ('b', 11), ('a', -4), ('b', -14), ('a', 15), ('b', -5), ('a', 13)] n=15, fixed words = 12423375
