g = [('b', 11), ('a', 13), ('b', -4), ('a', -1), ('b', -1), ('a', 20), ('b', -16), ('a', -19), ('b', 8), ('a', -6), ('b', -5), ('a', 18), ('b', 15), ('a', 17), ('b', -12), ('a', -13), ('b', 7), ('a', -1), ('b', -10), ('a', 10)] n=15, fixed words = 9568503
g = [('b', 8), ('a', -2), ('b', -17), ('a', 6), ('b', -2), ('a', 16), ('b', 14), ('a', -10), ('b', -11), ('a', 4), ('b', 12), ('a', -4), ('b', 8), ('a', 7), ('b', 20), ('a', -14), ('b', 11), ('a', -1), ('b', 2), ('a', -17)] n=15, fixed words = 13017672
g = [('b', 11), ('a', 16), ('b', 17), ('a', 9), ('b', -4), ('a', 7), ('b', -9), ('a', -11), ('b', -12), ('a', 4), ('b', -16), ('a', 7), ('b', 19), ('a', 11), ('b', -3), ('a', -15), ('b', -4), ('a', 5), ('b', 17), ('a', 5)] n=15, fixed words = 9568503
g = [('a', -3), ('b', -12), ('a', -2), ('b', -14), ('a', 12), ('b', -17), ('a', 16), ('b', -11), ('a', 5), ('b', 12), ('a', 3), ('b', 14), ('a', -3), ('b', -20), ('a', -14), ('b', 12), ('a', 20), ('b', -16), ('a', -6), ('b', -17)] n=15, fixed words = 11053422
g = [('b', 7), ('a', -8), ('b', 8), ('a', -14), ('b', -14), ('a', -8), ('b', -7), ('a', 9), ('b', 19), ('a', -1), ('b', -6), ('a', 6), ('b', -17), ('a', 15), ('b', 5), ('a', 6), ('b', 20), ('a', -9), ('b', -17), ('a', -7)] n=15, fixed words = 9568503
g = [('b', 20), ('a', 17), ('b', -4), ('a', 6), ('b', 7), ('a', 6), ('b', 7), ('a', -17), ('b', -4), ('a', -3), ('b', 18), ('a', -5), ('b', 8), ('a', 10), ('b', -13), ('a', 11), ('b', 16), ('a', 1), ('b', -19), ('a', 11)] n=15, fixed words = 11454696
g = [('a', -3), ('b', 10), ('a', -5), ('b', 8), ('a', -2), ('b', 18), ('a', 18), ('b', -8), ('a', 1), ('b', -19), ('a', 3), ('b', 8), ('a', -15), ('b', -13), ('a', -13), ('b', -12), ('a', 6), ('b', 18), ('a', -20), ('b', -3)] n=15, fixed words = 10941075
g = [('b', 19), ('a', -15), ('b', 12), ('a', 11), ('b', -18), ('a', 17), ('b', 14), ('a', -7), ('b', 4), ('a', -5), ('b', 5), ('a', -14), ('b', 14), ('a', -2), ('b', -14), ('a', -19), ('b', 2), ('a', -4), ('b', 12), ('a', 2)] n=15, fixed words = 11448135
g = [('b', 2), ('a', -20), ('b', -15), ('a', -10), ('b', -18), ('a', 1), ('b', -19), ('a', 13), ('b', 3), ('a', 4), ('b', -5), ('a', 14), ('b', -2), ('a', 11), ('b', 8), ('a', 9), ('b', 7), ('a', -5), ('b', -12), ('a', 9)] n=15, fixed words = 11039328
g = [('b', 18), ('a', -11), ('b', 20), ('a', 7), ('b', -12), ('a', -13), ('b', 6), ('a', 14), ('b', -12), ('a', -3), ('b', -6), ('a', -5), ('b', -11), ('a', -2), ('b', 12), ('a', -6), ('b', 1), ('a', -1), ('b', 7), ('a', -3)] n=15, fixed words = 9568503
g = [('a', 18), ('b', 17), ('a', 20), ('b', 4), ('a', -9), ('b', -1), ('a', -8), ('b', 15), ('a', -5), ('b', -16), ('a', -10), ('b', 17), ('a', 14), ('b', 12), ('a', -10), ('b', 20), ('a', 19), ('b', -8), ('a', -2), ('b', 14)] n=15, fixed words = 11609649
g = [('b', -8), ('a', 11), ('b', 11), ('a', 4), ('b', -6), ('a', -4), ('b', 16), ('a', 19), ('b', 1), ('a', -11), ('b', -8), ('a', 16), ('b', -4), ('a', 20), ('b', -2), ('a', -7), ('b', 15), ('a', 11), ('b', -7), ('a', 4)] n=15, fixed words = 11410632
g = [('a', -1), ('b', -9), ('a', -16), ('b', 9), ('a', 9), ('b', -16), ('a', 20), ('b', -20), ('a', -2), ('b', 12), ('a', -1), ('b', 14), ('a', -2), ('b', 20), ('a', 17), ('b', -17), ('a', 10), ('b', 6), ('a', -4), ('b', 10)] n=15, fixed words = 13033305
g = [('a', 20), ('b', 17), ('a', -16), ('b', -8), ('a', 17), ('b', 6), ('a', 2), ('b', 13), ('a', 18), ('b', -14), ('a', -3), ('b', 15), ('a', 15), ('b', 15), ('a', -10), ('b', -14), ('a', 18), ('b', -13), ('a', -13), ('b', -8)] n=15, fixed words = 13100130
g = [('a', -12), ('b', 9), ('a', 16), ('b', 7), ('a', 3), ('b', -2), ('a', -13), ('b', 4), ('a', -5), ('b', 18), ('a', 12), ('b', 10), ('a', 17), ('b', 7), ('a', -3), ('b', -9), ('a', 18), ('b', 1), ('a', 3), ('b', 20)] n=15, fixed words = 11507265
g = [('b', 5), ('a', -10), ('b', 4), ('a', 15), ('b', -16), ('a', 1), ('b', -12), ('a', -1), ('b', 4), ('a', 3), ('b', 5), ('a', -5), ('b', -19), ('a', -13), ('b', -8), ('a', 15), ('b', 6), ('a', -1), ('b', 4), ('a', 11)] n=15, fixed words = 13058091
g = [('b', 14), ('a', 5), ('b', 7), ('a', 13), ('b', -12), ('a', 10), ('b', 17), ('a', -20), ('b', -7), ('a', 15), ('b', -7), ('a', -9), ('b', -14), ('a', 2), ('b', -13), ('a', 3), ('b', 1), ('a', 4), ('b', -17), ('a', 13)] n=15, fixed words = 11407797
g = [('b', -4), ('a', -2), ('b', 19), ('a', 17), ('b', -17), ('a', 15), ('b', -14), ('a', -14), ('b', 18), ('a', -9), ('b', 3), ('a', 7), ('b', 9), ('a', -15), ('b', 15), ('a', 6), ('b', -5), ('a', -2), ('b', -19), ('a', -7)] n=15, fixed words = 9568503
g = [('b', -9), ('a', 19), ('b', -6), ('a', 2), ('b', 8), ('a', -14), ('b', -20), ('a', 4), ('b', -1), ('a', 14), ('b', 1), ('a', 14), ('b', -14), ('a', -19), ('b', -2), ('a', 13), ('b', -11), ('a', -17), ('b', 2), ('a', -14)] n=15, fixed words = 9568503
g = [('a', -16), ('b', -6), ('a', -6), ('b', 16), ('a', -7), ('b', -20), ('a', -6), ('b', -1), ('a', 12), ('b', 17), ('a', 3), ('b', 4), ('a', -11), ('b', -17), ('a', 18), ('b', 18), ('a', 3), ('b', 9), ('a', -5), ('b', 4)] n=15, fixed words = 12543174
g = [('b', -14), ('a', -15), ('b', 3), ('a', 16), ('b', 11), ('a', -10), ('b', -16), ('a', 17), ('b', -10), ('a', 10), ('b', 16), ('a', 4), ('b', -8), ('a', 15), ('b', -17), ('a', 18), ('b', -5), ('a', 13), ('b', 5), ('a', -12)] n=15, fixed words = 9568503
g = [('b', -18), ('a', 18), ('b', -10), ('a', 18), ('b', 6), ('a', 4), ('b', 4), ('a', -6), ('b', 7), ('a', 9), ('b', -3), ('a', 20), ('b', -11), ('a', -20), ('b', -18), ('a', 5), ('b', 7), ('a', 20), ('b', 14), ('a', 5)] n=15, fixed words = 9568503
g = [('b', 17), ('a', 12), ('b', -12), ('a', -8), ('b', -17), ('a', 3), ('b', -15), ('a', -6), ('b', 2), ('a', 1), ('b', -15), ('a', 5), ('b', -14), ('a', -14), ('b', 18), ('a', 14), ('b', 17), ('a', 16), ('b', 4), ('a', -20)] n=15, fixed words = 12561399
g = [('a', -2), ('b', -8), ('a', -18), ('b', 1), ('a', -14), ('b', 14), ('a', 2), ('b', -11), ('a', 4), ('b', 17), ('a', 19), ('b', -16), ('a', -8), ('b', 16), ('a', 15), ('b', 20), ('a', 12), ('b', -8), ('a', -16), ('b', -13)] n=15, fixed words = 12423375
g = [('a', -8), ('b', -17), ('a', -12), ('b', 12), ('a', -6), ('b', -10), ('a', -1), ('b', 20), ('a', 5), ('b', -7), ('a', -11), ('b', 17), ('a', -1), ('b', 4), ('a', 20), ('b', -9), ('a', -16), ('b', -2), ('a', 5), ('b', -3)] n=15, fixed words = 9568503
g = [('b', 4), ('a', 13), ('b', -5), ('a', -7), ('b', -9), ('a', -2), ('b', -17), ('a', 12), ('b', -9), ('a', -8), ('b', 13), ('a', 6), ('b', 7), ('a', 15), ('b', -1), ('a', 14), ('b', -1), ('a', -9), ('b', 3), ('a', 11)] n=15, fixed words = 13077288
g = [('b', 11), ('a', 18), ('b', 5), ('a', 4), ('b', 17), ('a', -14), ('b', 9), ('a', 1), ('b', -19), ('a', 6), ('b', -11), ('a', 14), ('b', -18), ('a', -13), ('b', 18), ('a', -10), ('b', 15), ('a', -9), ('b', 11), ('a', 13)] n=15, fixed words = 9568503
g = [('b', 19), ('a', 20), ('b', -4), ('a', -19), ('b', -18), ('a', 11), ('b', -5), ('a', 6), ('b', -19), ('a', 14), ('b', 2), ('a', 17), ('b', 1), ('a', 16), ('b', 17), ('a', 20), ('b', 17), ('a', -10), ('b', -9), ('a', -20)] n=15, fixed words = 9568503
g = [('a', -19), ('b', 7), ('a', -16), ('b', 6), ('a', 15), ('b', 15), ('a', 17), ('b', -7), ('a', -14), ('b', -9), ('a', -12), ('b', -11), ('a', 3), ('b', 8), ('a', -4), ('b', -18), ('a', -1), ('b', -17), ('a', 9), ('b', 13)] n=15, fixed words = 9568503
g = [('b', 9), ('a', 5), ('b', -2), ('a', 11), ('b', -8), ('a', -9), ('b', -16), ('a', 5), ('b', 11), ('a', 9), ('b', -20), ('a', -1), ('b', 9), ('a', 6), ('b', 18), ('a', 4), ('b', -15), ('a', 3), ('b', 6), ('a', -20)] n=15, fixed words = 9568503
g = [('a', -6), ('b', 16), ('a', -6), ('b', 3), ('a', 15), ('b', 3), ('a', 19), ('b', -20), ('a', 12), ('b', -14), ('a', -9), ('b', -14), ('a', 9), ('b', 16), ('a', -10), ('b', -8), ('a', -10), ('b', -12), ('a', -18), ('b', -11)] n=15, fixed words = 9568503
g = [('a', 13), ('b', 19), ('a', 17), ('b', -6), ('a', 19), ('b', -10), ('a', -16), ('b', 10), ('a', -18), ('b', -11), ('a', 19), ('b', 3), ('a', 11), ('b', -13), ('a', -7), ('b', -13), ('a', -7), ('b', 13), ('a', -10), ('b', -10)] n=15, fixed words = 13006089
g = [('a', 2), ('b', 16), ('a', 3), ('b', 7), ('a', -19), ('b', 6), ('a', -17), ('b', -1), ('a', 12), ('b', -4), ('a', 6), ('b', 9), ('a', -10), ('b', -18), ('a', -18), ('b', 12), ('a', -18), ('b', 15), ('a', -1), ('b', 14)] n=15, fixed words = 11057067
g = [('a', -11), ('b', 11), ('a', -3), ('b', -11), ('a', 3), ('b', 12), ('a', -17), ('b', 17), ('a', 13), ('b', 12), ('a', 3), ('b', 14), ('a', 7), ('b', 1), ('a', -8), ('b', -4), ('a', -18), ('b', -4), ('a', -18), ('b', 5)] n=15, fixed words = 9568503
g = [('a', 17), ('b', 20), ('a', -16), ('b', -19), ('a', -18), ('b', -13), ('a', -5), ('b', 17), ('a', -11), ('b', 15), ('a', -16), ('b', -5), ('a', -4), ('b', -6), ('a', 9), ('b', -6), ('a', 5), ('b', 18), ('a', 17), ('b', 14)] n=15, fixed words = 9568503
g = [('a', -8), ('b', 19), ('a', 20), ('b', -8), ('a', -16), ('b', 10), ('a', -17), ('b', -3), ('a', -16), ('b', 18), ('a', 10), ('b', 11), ('a', 2), ('b', 9), ('a', 4), ('b', -7), ('a', 15), ('b', -5), ('a', 9), ('b', 7)] n=15, fixed words = 12423375
g = [('a', -1), ('b', -13), ('a', 9), ('b', 12), ('a', -2), ('b', 1), ('a', -12), ('b', -19), ('a', 10), ('b', 8), ('a', -12), ('b', -15), ('a', -11), ('b', 7), ('a', -4), ('b', -11), ('a', 1), ('b', -8), ('a', 9), ('b', -17)] n=15, fixed words = 9568503
g = [('a', -20), ('b', 3), ('a', 7), ('b', -6), ('a', 20), ('b', 5), ('a', -8), ('b', -7), ('a', 9), ('b', -1), ('a', -1), ('b', -6), ('a', 13), ('b', 19), ('a', 14), ('b', 10), ('a', -6), ('b', 13), ('a', -18), ('b', -16)] n=15, fixed words = 9568503
g = [('a', -12), ('b', -1), ('a', 3), ('b', 14), ('a', -14), ('b', 15), ('a', 18), ('b', 18), ('a', -11), ('b', -17), ('a', -15), ('b', 8), ('a', 7), ('b', 1), ('a', -18), ('b', -11), ('a', 12), ('b', 14), ('a', 12), ('b', 11)] n=15, fixed words = 11524194
