g = [('a', -15), ('b', -12), ('a', 1), ('b', 11), ('a', -13), ('b', -14), ('a', -10), ('b', 1), ('a', 1), ('b', -9), ('a', 10), ('b', -4), ('a', 4), ('b', -14), ('a', -8)] n=20, fixed words = 2350403406
g = [('a', 2), ('b', 11), ('a', -14), ('b', 9), ('a', -5), ('b', 7), ('a', -8), ('b', 5), ('a', 6), ('b', -15), ('a', -13), ('b', -12), ('a', 10), ('b', -12), ('a', 8)] n=20, fixed words = 1958440401
g = [('b', 4), ('a', 4), ('b', 14), ('a', 8), ('b', 11), ('a', 2), ('b', -13), ('a', -7), ('b', -7), ('a', 4), ('b', 12), ('a', -2), ('b', 4), ('a', 5), ('b', 10)] n=20, fixed words = 1958440401
g = [('b', -7), ('a', -15), ('b', -8), ('a', -9), ('b', 4), ('a', -14), ('b', 12), ('a', -4), ('b', 5), ('a', -15), ('b', -9), ('a', -8), ('b', 14), ('a', 8), ('b', -15)] n=20, fixed words = 2390314482
g = [('b', 6), ('a', -1), ('b', 6), ('a', -11), ('b', 15), ('a', -4), ('b', 13), ('a', 3), ('b', -2), ('a', -12), ('b', 13), ('a', -8), ('b', 15), ('a', 12), ('b', 3)] n=20, fixed words = 2908797480
g = [('a', -11), ('b', 15), ('a', 6), ('b', -5), ('a', 3), ('b', -7), ('a', 2), ('b', -9), ('a', -8), ('b', -7), ('a', 3), ('b', -7), ('a', 4), ('b', 1), ('a', 8)] n=20, fixed words = 1958440401
g = [('b', 7), ('a', 9), ('b', -3), ('a', 9), ('b', -15), ('a', 8), ('b', 5), ('a', 8), ('b', 9), ('a', -5), ('b', 6), ('a', 12), ('b', -4), ('a', 3), ('b', -2)] n=20, fixed words = 2383015086
g = [('a', 3), ('b', 4), ('a', -4), ('b', -3), ('a', 12), ('b', 14), ('a', 14), ('b', 8), ('a', -12), ('b', -9), ('a', -8), ('b', 13), ('a', -4), ('b', -12), ('a', 9)] n=20, fixed words = 2350403406
g = [('b', 2), ('a', 8), ('b', -8), ('a', 11), ('b', 9), ('a', 8), ('b', -12), ('a', -7), ('b', 11), ('a', -5), ('b', 15), ('a', -5), ('b', 8), ('a', -5), ('b', 12)] n=20, fixed words = 1958440401
g = [('b', -7), ('a', 10), ('b', -13), ('a', -1), ('b', 3), ('a', 11), ('b', 1), ('a', 1), ('b', -1), ('a', -9), ('b', 8), ('a', -13), ('b', -6), ('a', -12), ('b', -2)] n=20, fixed words = 1958440401
g = [('b', -14), ('a', 15), ('b', 1), ('a', -1), ('b', -4), ('a', 7), ('b', -4), ('a', 10), ('b', -11), ('a', -3), ('b', -13), ('a', -10), ('b', 3), ('a', 15), ('b', 9)] n=20, fixed words = 2830249188
g = [('b', -3), ('a', -2), ('b', 14), ('a', 13), ('b', -10), ('a', -14), ('b', -7), ('a', -6), ('b', -5), ('a', -7), ('b', -8), ('a', -7), ('b', 4), ('a', -12), ('b', 6)] n=20, fixed words = 2527778097
g = [('a', -8), ('b', 11), ('a', 13), ('b', 12), ('a', 7), ('b', -6), ('a', -12), ('b', -4), ('a', -15), ('b', 12), ('a', 11), ('b', 2), ('a', 11), ('b', 12), ('a', 1)] n=20, fixed words = 2350403406
g = [('a', 13), ('b', -9), ('a', -9), ('b', 13), ('a', -7), ('b', -3), ('a', 10), ('b', 4), ('a', 1), ('b', 1), ('a', 3), ('b', -4), ('a', 9), ('b', 1), ('a', 11)] n=20, fixed words = 2388038787
g = [('a', -6), ('b', -1), ('a', 11), ('b', -11), ('a', -1), ('b', 12), ('a', -11), ('b', 13), ('a', -13), ('b', -10), ('a', -4), ('b', -8), ('a', -13), ('b', -7), ('a', 15)] n=20, fixed words = 2350403406
g = [('a', -15), ('b', -14), ('a', 5), ('b', -13), ('a', -9), ('b', -6), ('a', 13), ('b', -6), ('a', -13), ('b', -9), ('a', -11), ('b', -14), ('a', -2), ('b', -12), ('a', -13)] n=20, fixed words = 2509671060
g = [('a', 2), ('b', -9), ('a', -4), ('b', -3), ('a', -10), ('b', -2), ('a', -11), ('b', 5), ('a', 4), ('b', -14), ('a', -1), ('b', 6), ('a', -6), ('b', -3), ('a', 10)] n=20, fixed words = 1958440401
g = [('a', -10), ('b', 1), ('a', 1), ('b', 9), ('a', -2), ('b', -14), ('a', 2), ('b', -12), ('a', 8), ('b', -14), ('a', 4), ('b', -11), ('a', 15), ('b', -11), ('a', -6)] n=20, fixed words = 2350403406
g = [('b', 9), ('a', 2), ('b', -8), ('a', -3), ('b', -7), ('a', 7), ('b', -15), ('a', -4), ('b', 8), ('a', -11), ('b', 10), ('a', -11), ('b', -1), ('a', 13), ('b', -1)] n=20, fixed words = 1958440401
g = [('b', -2), ('a', 9), ('b', -2), ('a', -12), ('b', -14), ('a', 12), ('b', 14), ('a', -8), ('b', -10), ('a', 11), ('b', -1), ('a', -12), ('b', 4), ('a', -1), ('b', -2)] n=20, fixed words = 1958440401
g = [('a', -15), ('b', -6), ('a', -8), ('b', 13), ('a', 6), ('b', -9), ('a', 14), ('b', -11), ('a', 12), ('b', 6), ('a', -12), ('b', 6), ('a', -6), ('b', 7), ('a', -15)] n=20, fixed words = 2838295404
g = [('b', -13), ('a', -15), ('b', 9), ('a', -9), ('b', 15), ('a', 9), ('b', -5), ('a', 2), ('b', 3), ('a', 1), ('b', 4), ('a', -15), ('b', 2), ('a', 2), ('b', 11)] n=20, fixed words = 1958440401
g = [('a', 9), ('b', -10), ('a', -7), ('b', 10), ('a', 4), ('b', -15), ('a', 2), ('b', -4), ('a', -7), ('b', -11), ('a', -4), ('b', 12), ('a', -4), ('b', -10), ('a', -10)] n=20, fixed words = 1958440401
g = [('b', 9), ('a', 8), ('b', -8), ('a', 15), ('b', -11), ('a', -4), ('b', -10), ('a', -3), ('b', 14), ('a', -12), ('b', -4), ('a', -8), ('b', 2), ('a', -15), ('b', -6)] n=20, fixed words = 1958440401
g = [('b', 8), ('a', 10), ('b', -10), ('a', -11), ('b', 6), ('a', -7), ('b', 8), ('a', 3), ('b', 7), ('a', 8), ('b', 3), ('a', 15), ('b', -12), ('a', -5), ('b', 6)] n=20, fixed words = 1958440401
g = [('b', 4), ('a', -10), ('b', 3), ('a', -8), ('b', -14), ('a', -2), ('b', 1), ('a', -4), ('b', 2), ('a', 6), ('b', -13), ('a', 2), ('b', -3), ('a', -5), ('b', -11)] n=20, fixed words = 2374129089
g = [('a', 6), ('b', -13), ('a', 9), ('b', 13), ('a', -6), ('b', 12), ('a', 12), ('b', 1), ('a', -13), ('b', -13), ('a', -14), ('b', 12), ('a', -11), ('b', -14), ('a', -6)] n=20, fixed words = 1958440401
g = [('a', 5), ('b', 8), ('a', 9), ('b', 11), ('a', 2), ('b', -6), ('a', 1), ('b', 14), ('a', -4), ('b', 3), ('a', 2), ('b', -11), ('a', -9), ('b', 1), ('a', 8)] n=20, fixed words = 1958440401
g = [('a', 8), ('b', -3), ('a', -12), ('b', 12), ('a', -3), ('b', 14), ('a', 3), ('b', 10), ('a', -15), ('b', -6), ('a', 1), ('b', -2), ('a', -3), ('b', 4), ('a', -9)] n=20, fixed words = 2397164814
