g = [('b', -2), ('a', -4), ('b', -1), ('a', 9), ('b', -6), ('a', -19), ('b', 12), ('a', 17), ('b', -4), ('a', 20), ('b', 3), ('a', 13), ('b', 18), ('a', 4), ('b', 17), ('a', 2), ('b', -10), ('a', 12), ('b', -9), ('a', 2)] n=20, fixed words = 2509481196
g = [('b', -17), ('a', 8), ('b', 17), ('a', 2), ('b', -5), ('a', -19), ('b', 11), ('a', 2), ('b', -19), ('a', -8), ('b', 14), ('a', 7), ('b', -11), ('a', -5), ('b', -9), ('a', -11), ('b', -12), ('a', -1), ('b', 3), ('a', -8)] n=20, fixed words = 2350403406
g = [('a', 1), ('b', -13), ('a', 6), ('b', -11), ('a', 13), ('b', -9), ('a', -15), ('b', -6), ('a', -5), ('b', 18), ('a', -2), ('b', 18), ('a', -13), ('b', -3), ('a', -15), ('b', 14), ('a', 4), ('b', 13), ('a', 7), ('b', 10)] n=20, fixed words = 1958440401
g = [('a', 8), ('b', -20), ('a', -16), ('b', -16), ('a', 4), ('b', 15), ('a', -5), ('b', -5), ('a', 16), ('b', -1), ('a', -7), ('b', 8), ('a', 13), ('b', 14), ('a', 9), ('b', 19), ('a', -5), ('b', -16), ('a', -8), ('b', 9)] n=20, fixed words = 2527640802
g = [('a', 19), ('b', 14), ('a', -14), ('b', 4), ('a', 11), ('b', 12), ('a', 16), ('b', 9), ('a', -7), ('b', -11), ('a', 10), ('b', 4), ('a', -5), ('b', -1), ('a', 13), ('b', -7), ('a', 6), ('b', 17), ('a', 18), ('b', -2)] n=20, fixed words = 2371830309
g = [('b', 4), ('a', 14), ('b', -3), ('a', -8), ('b', 12), ('a', -9), ('b', -12), ('a', 5), ('b', 19), ('a', -3), ('b', -14), ('a', 15), ('b', -14), ('a', 15), ('b', 6), ('a', -10), ('b', -15), ('a', 8), ('b', 2), ('a', 6)] n=20, fixed words = 2900598903
g = [('a', -9), ('b', 5), ('a', 17), ('b', -18), ('a', 2), ('b', 2), ('a', 4), ('b', 15), ('a', -10), ('b', 16), ('a', 10), ('b', 15), ('a', 8), ('b', -1), ('a', -13), ('b', -10), ('a', 11), ('b', 6), ('a', 6), ('b', -13)] n=20, fixed words = 1958440401
g = [('a', 14), ('b', 9), ('a', 12), ('b', -14), ('a', -6), ('b', 17), ('a', -8), ('b', 8), ('a', 9), ('b', 6), ('a', 3), ('b', 18), ('a', 3), ('b', -15), ('a', 15), ('b', -9), ('a', -11), ('b', -7), ('a', -6), ('b', 14)] n=20, fixed words = 2581868844
g = [('b', -11), ('a', -16), ('b', 13), ('a', -18), ('b', -17), ('a', -20), ('b', 17), ('a', -10), ('b', 6), ('a', 13), ('b', -12), ('a', 11), ('b', 2), ('a', 3), ('b', -7), ('a', -13), ('b', 14), ('a', -1), ('b', -6), ('a', -19)] n=20, fixed words = 1958440401
g = [('b', 3), ('a', -2), ('b', 16), ('a', -15), ('b', 19), ('a', -16), ('b', 5), ('a', -16), ('b', 11), ('a', 5), ('b', -4), ('a', -5), ('b', -20), ('a', -20), ('b', 14), ('a', -13), ('b', 1), ('a', 16), ('b', 4), ('a', -8)] n=20, fixed words = 1958440401
g = [('b', -15), ('a', -17), ('b', 18), ('a', 12), ('b', -18), ('a', -18), ('b', 5), ('a', -9), ('b', 8), ('a', 10), ('b', -1), ('a', 6), ('b', -9), ('a', 16), ('b', 17), ('a', -6), ('b', -6), ('a', -15), ('b', 17), ('a', 1)] n=20, fixed words = 1958440401
