g = [('b', -15), ('a', 12), ('b', -13), ('a', 4), ('b', 12), ('a', -14), ('b', -13), ('a', 3), ('b', -6), ('a', 15), ('b', 7), ('a', 13), ('b', 7), ('a', 13), ('b', 14)] n=25, fixed words = 424690543179
g = [('b', 12), ('a', 8), ('b', 3), ('a', -5), ('b', 15), ('a', -1), ('b', -8), ('a', 11), ('b', -15), ('a', 14), ('b', 15), ('a', -3), ('b', 3), ('a', -14), ('b', 4)] n=25, fixed words = 424690543179
g = [('b', -12), ('a', -6), ('b', -6), ('a', -11), ('b', 7), ('a', -13), ('b', -4), ('a', 7), ('b', 14), ('a', -9), ('b', -6), ('a', 1), ('b', 9), ('a', -5), ('b', -7)] n=25, fixed words = 575459865180
g = [('a', 14), ('b', 11), ('a', -11), ('b', 1), ('a', 1), ('b', -1), ('a', 13), ('b', -10), ('a', -7), ('b', 12), ('a', -9), ('b', -6), ('a', -10), ('b', 4), ('a', -7)] n=25, fixed words = 424690543179
g = [('b', 2), ('a', 10), ('b', -3), ('a', 14), ('b', -13), ('a', 13), ('b', -13), ('a', -9), ('b', -1), ('a', 15), ('b', 5), ('a', -3), ('b', 12), ('a', 2), ('b', -2)] n=25, fixed words = 539730900774
g = [('a', -1), ('b', -11), ('a', 14), ('b', 8), ('a', -15), ('b', -15), ('a', -9), ('b', 15), ('a', 14), ('b', 2), ('a', 13), ('b', -13), ('a', -12), ('b', -14), ('a', 5)] n=25, fixed words = 565881272469
g = [('a', -15), ('b', 15), ('a', 5), ('b', 3), ('a', 4), ('b', 11), ('a', -7), ('b', 3), ('a', -4), ('b', -10), ('a', -15), ('b', 3), ('a', 4), ('b', 1), ('a', -6)] n=25, fixed words = 424690543179
g = [('b', 9), ('a', 11), ('b', 6), ('a', 10), ('b', -6), ('a', -15), ('b', 11), ('a', 6), ('b', -2), ('a', -11), ('b', -6), ('a', 1), ('b', -9), ('a', 13), ('b', -9)] n=25, fixed words = 679868684631
g = [('b', 7), ('a', -15), ('b', -2), ('a', -6), ('b', -15), ('a', 15), ('b', -10), ('a', 12), ('b', 5), ('a', -10), ('b', -5), ('a', 15), ('b', 11), ('a', -1), ('b', -1)] n=25, fixed words = 424690543179
g = [('b', 9), ('a', 13), ('b', -15), ('a', -8), ('b', -10), ('a', -3), ('b', -11), ('a', 8), ('b', 3), ('a', -14), ('b', 10), ('a', -14), ('b', -8), ('a', -6), ('b', 4)] n=25, fixed words = 704688982380
g = [('b', -12), ('a', -8), ('b', -13), ('a', -13), ('b', -11), ('a', 7), ('b', -10), ('a', -10), ('b', -7), ('a', 15), ('b', -15), ('a', -13), ('b', 14), ('a', 11), ('b', 1)] n=25, fixed words = 424690543179
g = [('b', -7), ('a', 1), ('b', 4), ('a', -15), ('b', 12), ('a', 2), ('b', -11), ('a', 10), ('b', 9), ('a', 10), ('b', 14), ('a', 1), ('b', 8), ('a', -12), ('b', 10)] n=25, fixed words = 657880583472
g = [('a', -4), ('b', -15), ('a', 6), ('b', -11), ('a', 10), ('b', -12), ('a', 5), ('b', 11), ('a', -15), ('b', 15), ('a', 11), ('b', -1), ('a', -5), ('b', 5), ('a', -5)] n=25, fixed words = 530890744563
g = [('b', -13), ('a', -13), ('b', 3), ('a', -1), ('b', -11), ('a', -1), ('b', 14), ('a', -2), ('b', 10), ('a', -10), ('b', 3), ('a', 10), ('b', -9), ('a', -10), ('b', -6)] n=25, fixed words = 766755286893
g = [('a', -12), ('b', -8), ('a', -15), ('b', -3), ('a', 15), ('b', -7), ('a', -10), ('b', 9), ('a', -10), ('b', 10), ('a', -2), ('b', -6), ('a', -11), ('b', -3), ('a', 13)] n=25, fixed words = 424690543179
g = [('a', -1), ('b', -15), ('a', -6), ('b', -13), ('a', -12), ('b', 5), ('a', 14), ('b', -12), ('a', 3), ('b', -6), ('a', 2), ('b', -8), ('a', -6), ('b', 8), ('a', 12)] n=25, fixed words = 538999568946
g = [('a', 11), ('b', 7), ('a', -9), ('b', 11), ('a', 2), ('b', 10), ('a', 3), ('b', 13), ('a', 4), ('b', 11), ('a', -8), ('b', -3), ('a', -14), ('b', -14), ('a', -14)] n=25, fixed words = 424690543179
g = [('a', 9), ('b', 6), ('a', -8), ('b', -5), ('a', 5), ('b', 7), ('a', -13), ('b', -2), ('a', -1), ('b', 8), ('a', 14), ('b', 4), ('a', 5), ('b', -10), ('a', -3)] n=25, fixed words = 424690543179
g = [('b', -2), ('a', 13), ('b', 1), ('a', 5), ('b', -1), ('a', 4), ('b', -6), ('a', 10), ('b', 7), ('a', 5), ('b', 14), ('a', 12), ('b', -2), ('a', -3), ('b', 2)] n=25, fixed words = 424690543179
g = [('b', -4), ('a', -8), ('b', 1), ('a', 10), ('b', -5), ('a', 1), ('b', 14), ('a', -10), ('b', 15), ('a', 7), ('b', -6), ('a', 5), ('b', -8), ('a', -8), ('b', 6)] n=25, fixed words = 526392385506
g = [('a', 9), ('b', 14), ('a', -6), ('b', 14), ('a', -5), ('b', -7), ('a', 5), ('b', -2), ('a', -14), ('b', -14), ('a', 2), ('b', -2), ('a', -14), ('b', -4), ('a', 14)] n=25, fixed words = 578552186385
g = [('a', -9), ('b', 4), ('a', -4), ('b', -2), ('a', -12), ('b', -4), ('a', -13), ('b', -11), ('a', 4), ('b', 5), ('a', 1), ('b', -5), ('a', 13), ('b', -9), ('a', 6)] n=25, fixed words = 424690543179
g = [('b', 7), ('a', 3), ('b', -2), ('a', -2), ('b', -1), ('a', 9), ('b', 14), ('a', 12), ('b', 8), ('a', -11), ('b', -5), ('a', -2), ('b', -14), ('a', -9), ('b', 8)] n=25, fixed words = 724161002787
g = [('a', -11), ('b', 1), ('a', -10), ('b', 12), ('a', -5), ('b', -9), ('a', 15), ('b', 12), ('a', -12), ('b', -6), ('a', 13), ('b', 8), ('a', 9), ('b', -3), ('a', -3)] n=25, fixed words = 533072946771
g = [('a', 4), ('b', -14), ('a', -9), ('b', 5), ('a', 7), ('b', 7), ('a', 14), ('b', -6), ('a', 1), ('b', 9), ('a', -3), ('b', -1), ('a', -10), ('b', -2), ('a', -5)] n=25, fixed words = 424690543179
g = [('b', -10), ('a', -6), ('b', 15), ('a', 14), ('b', 4), ('a', -3), ('b', 7), ('a', 9), ('b', -7), ('a', -10), ('b', -12), ('a', 6), ('b', -11), ('a', 11), ('b', -11)] n=25, fixed words = 530890744563
g = [('b', 10), ('a', -6), ('b', 6), ('a', 6), ('b', 6), ('a', -9), ('b', 6), ('a', -14), ('b', 8), ('a', 13), ('b', 8), ('a', -6), ('b', 3), ('a', 7), ('b', -6)] n=25, fixed words = 566034182406
g = [('a', -13), ('b', -8), ('a', -13), ('b', 3), ('a', 14), ('b', 5), ('a', 5), ('b', -7), ('a', 10), ('b', -7), ('a', 7), ('b', 13), ('a', -2), ('b', -8), ('a', 4)] n=25, fixed words = 691328551995
g = [('b', -12), ('a', 6), ('b', 8), ('a', -9), ('b', 2), ('a', -11), ('b', 9), ('a', -14), ('b', -7), ('a', -3), ('b', -9), ('a', 13), ('b', 7), ('a', -4), ('b', 7)] n=25, fixed words = 424690543179
