g = [('b', -5), ('a', -14), ('b', -14), ('a', -11), ('b', 18), ('a', 11), ('b', 1), ('a', -19), ('b', 10), ('a', -15), ('b', -13), ('a', 16), ('b', -3), ('a', -1), ('b', 2), ('a', 19), ('b', 18), ('a', -18), ('b', -17), ('a', -15)] n=25, fixed words = 526392385506
g = [('b', 20), ('a', 8), ('b', -2), ('a', -9), ('b', 14), ('a', -18), ('b', -20), ('a', -18), ('b', -9), ('a', 19), ('b', 19), ('a', -19), ('b', -2), ('a', 6), ('b', 3), ('a', 10), ('b', 13), ('a', -10), ('b', -7), ('a', 13)] n=25, fixed words = 574360267581
g = [('b', 4), ('a', -4), ('b', 13), ('a', 8), ('b', 15), ('a', 18), ('b', -3), ('a', -15), ('b', 3), ('a', 13), ('b', -15), ('a', -5), ('b', -19), ('a', 3), ('b', 8), ('a', -3), ('b', 4), ('a', 16), ('b', -6), ('a', 5)] n=25, fixed words = 577640164860
g = [('b', 7), ('a', 14), ('b', -16), ('a', -14), ('b', 16), ('a', -10), ('b', -13), ('a', 10), ('b', -11), ('a', -19), ('b', -9), ('a', 9), ('b', 12), ('a', -6), ('b', -6), ('a', -2), ('b', 15), ('a', 7), ('b', 3), ('a', -15)] n=25, fixed words = 424690543179
g = [('b', -1), ('a', -18), ('b', 4), ('a', -14), ('b', -20), ('a', 1), ('b', 18), ('a', 13), ('b', 11), ('a', 1), ('b', -1), ('a', 18), ('b', 10), ('a', -3), ('b', -18), ('a', -18), ('b', -15), ('a', 17), ('b', -7), ('a', -4)] n=25, fixed words = 424690543179
g = [('b', -18), ('a', 1), ('b', 3), ('a', -2), ('b', 12), ('a', 12), ('b', -20), ('a', -18), ('b', 16), ('a', 13), ('b', 16), ('a', 3), ('b', -6), ('a', -7), ('b', -19), ('a', 18), ('b', 14), ('a', -14), ('b', 7), ('a', 13)] n=25, fixed words = 424690543179
g = [('a', 8), ('b', -20), ('a', -4), ('b', -13), ('a', -3), ('b', -20), ('a', 5), ('b', -9), ('a', 1), ('b', 19), ('a', 4), ('b', -11), ('a', -5), ('b', 20), ('a', -10), ('b', -5), ('a', 4), ('b', 1), ('a', -8), ('b', -19)] n=25, fixed words = 535340312136
g = [('a', -10), ('b', -5), ('a', 13), ('b', -8), ('a', 3), ('b', -15), ('a', -14), ('b', 7), ('a', -12), ('b', -18), ('a', 1), ('b', -6), ('a', -3), ('b', 6), ('a', -1), ('b', 1), ('a', 5), ('b', 5), ('a', -3), ('b', 20)] n=25, fixed words = 526392385506
g = [('a', -19), ('b', -17), ('a', 17), ('b', 9), ('a', -3), ('b', 3), ('a', -2), ('b', -14), ('a', 5), ('b', -13), ('a', 1), ('b', 11), ('a', 18), ('b', 3), ('a', -5), ('b', -11), ('a', -12), ('b', 8), ('a', -4), ('b', 15)] n=25, fixed words = 526392385506
g = [('a', -16), ('b', -3), ('a', 20), ('b', -20), ('a', -16), ('b', 5), ('a', 12), ('b', 3), ('a', 10), ('b', 1), ('a', 3), ('b', 4), ('a', 8), ('b', -12), ('a', -8), ('b', -14), ('a', -1), ('b', -16), ('a', -5), ('b', -20)] n=25, fixed words = 565090640460
g = [('b', 16), ('a', -5), ('b', -13), ('a', -4), ('b', -2), ('a', 1), ('b', -3), ('a', -20), ('b', 9), ('a', 3), ('b', -20), ('a', -14), ('b', 17), ('a', 12), ('b', -13), ('a', -20), ('b', 14), ('a', 17), ('b', -15), ('a', -10)] n=25, fixed words = 424690543179
g = [('a', -15), ('b', -18), ('a', 6), ('b', 10), ('a', 14), ('b', 12), ('a', 17), ('b', 7), ('a', 4), ('b', -14), ('a', 7), ('b', 1), ('a', 5), ('b', 7), ('a', -20), ('b', -1), ('a', -16), ('b', 3), ('a', 15), ('b', 15)] n=25, fixed words = 424690543179
g = [('b', 17), ('a', -8), ('b', 2), ('a', 3), ('b', -9), ('a', 15), ('b', 15), ('a', -5), ('b', -9), ('a', 17), ('b', -13), ('a', -14), ('b', 8), ('a', 10), ('b', 2), ('a', -3), ('b', -10), ('a', -3), ('b', -10), ('a', -10)] n=25, fixed words = 424690543179
g = [('a', 20), ('b', -16), ('a', -3), ('b', 20), ('a', 18), ('b', 12), ('a', -15), ('b', -17), ('a', 15), ('b', -14), ('a', 2), ('b', 12), ('a', -1), ('b', 12), ('a', -3), ('b', -6), ('a', -11), ('b', 4), ('a', 10), ('b', -20)] n=25, fixed words = 424690543179
g = [('a', 12), ('b', -10), ('a', 2), ('b', 5), ('a', 8), ('b', -6), ('a', 1), ('b', 9), ('a', 10), ('b', -20), ('a', 16), ('b', 9), ('a', -13), ('b', 20), ('a', 14), ('b', -17), ('a', -2), ('b', 4), ('a', -13), ('b', 20)] n=25, fixed words = 424690543179
g = [('b', 9), ('a', -15), ('b', 20), ('a', -11), ('b', -16), ('a', -14), ('b', -10), ('a', 11), ('b', 18), ('a', -17), ('b', 10), ('a', -6), ('b', 15), ('a', -2), ('b', -1), ('a', -2), ('b', -4), ('a', -9), ('b', -3), ('a', -7)] n=25, fixed words = 568739231109
g = [('b', 2), ('a', 15), ('b', 12), ('a', -14), ('b', 14), ('a', 12), ('b', 2), ('a', 3), ('b', 3), ('a', 17), ('b', -13), ('a', 13), ('b', -2), ('a', -7), ('b', 10), ('a', 15), ('b', 13), ('a', 7), ('b', 16), ('a', -14)] n=25, fixed words = 537232208319
g = [('b', 5), ('a', 20), ('b', -11), ('a', 1), ('b', 11), ('a', 19), ('b', 2), ('a', 15), ('b', -10), ('a', 20), ('b', -17), ('a', -8), ('b', -14), ('a', -20), ('b', 1), ('a', 15), ('b', 3), ('a', -3), ('b', 18), ('a', 20)] n=25, fixed words = 526392385506
g = [('b', 17), ('a', -1), ('b', 11), ('a', 20), ('b', -8), ('a', -7), ('b', -12), ('a', -17), ('b', 2), ('a', -19), ('b', 17), ('a', -12), ('b', 13), ('a', 10), ('b', -6), ('a', 20), ('b', -13), ('a', -19), ('b', 9), ('a', -3)] n=25, fixed words = 526392385506
g = [('a', 9), ('b', 2), ('a', 1), ('b', 12), ('a', -19), ('b', 17), ('a', 9), ('b', -9), ('a', 7), ('b', -7), ('a', -13), ('b', 18), ('a', 9), ('b', 12), ('a', 7), ('b', -6), ('a', 2), ('b', 13), ('a', -13), ('b', -19)] n=25, fixed words = 536764583979
g = [('b', -13), ('a', -16), ('b', 19), ('a', 10), ('b', -13), ('a', -6), ('b', 16), ('a', 1), ('b', -18), ('a', 15), ('b', 13), ('a', 3), ('b', 19), ('a', 16), ('b', -7), ('a', -18), ('b', 17), ('a', 18), ('b', 9), ('a', 2)] n=25, fixed words = 535380139593
g = [('b', -13), ('a', -11), ('b', 2), ('a', -5), ('b', 11), ('a', 20), ('b', 3), ('a', 15), ('b', 4), ('a', -14), ('b', -12), ('a', -8), ('b', 8), ('a', 8), ('b', -7), ('a', 16), ('b', -19), ('a', 16), ('b', -9), ('a', -12)] n=25, fixed words = 424690543179
g = [('b', 13), ('a', 19), ('b', -14), ('a', -13), ('b', -18), ('a', -12), ('b', 15), ('a', 10), ('b', -4), ('a', -8), ('b', 6), ('a', -5), ('b', -6), ('a', -12), ('b', -5), ('a', 4), ('b', 18), ('a', 3), ('b', -4), ('a', -5)] n=25, fixed words = 424690543179
g = [('a', 16), ('b', 17), ('a', 12), ('b', 3), ('a', -2), ('b', -1), ('a', -15), ('b', 18), ('a', 4), ('b', 3), ('a', 16), ('b', 15), ('a', 7), ('b', -5), ('a', -13), ('b', -12), ('a', -2), ('b', -6), ('a', -2), ('b', -20)] n=25, fixed words = 655447961502
g = [('a', -4), ('b', 17), ('a', 18), ('b', 5), ('a', 6), ('b', -13), ('a', 15), ('b', 13), ('a', 10), ('b', -16), ('a', 16), ('b', 11), ('a', -14), ('b', -7), ('a', -15), ('b', 8), ('a', -4), ('b', 5), ('a', 11), ('b', -14)] n=25, fixed words = 700640200458
g = [('b', -11), ('a', -1), ('b', -14), ('a', 18), ('b', -10), ('a', 11), ('b', 9), ('a', -10), ('b', -12), ('a', -13), ('b', 12), ('a', 16), ('b', 19), ('a', -20), ('b', 9), ('a', -3), ('b', -13), ('a', -18), ('b', 10), ('a', -3)] n=25, fixed words = 424690543179
g = [('a', 15), ('b', -14), ('a', -19), ('b', -4), ('a', 13), ('b', -14), ('a', 1), ('b', 12), ('a', -2), ('b', 6), ('a', -3), ('b', -7), ('a', 18), ('b', 10), ('a', 12), ('b', 5), ('a', 12), ('b', -16), ('a', 9), ('b', 1)] n=25, fixed words = 532374874596
