g = [('b', -13), ('a', 4), ('b', 12), ('a', 8), ('b', -2), ('a', -10), ('b', -12), ('a', -3), ('b', 10), ('a', 14), ('b', -13), ('a', 7), ('b', -13), ('a', 2), ('b', -11)] n=50, fixed words = 267588168877342552764222
g = [('a', 13), ('b', 10), ('a', 6), ('b', -3), ('a', 3), ('b', 3), ('a', -14), ('b', -1), ('a', 4), ('b', 15), ('a', 15), ('b', -10), ('a', -9), ('b', 4), ('a', -15)] n=50, fixed words = 477483528473583120037944
g = [('b', -11), ('a', 7), ('b', 10), ('a', 1), ('b', 6), ('a', -10), ('b', 12), ('a', -8), ('b', -11), ('a', -6), ('b', -6), ('a', -13), ('b', -15), ('a', 1), ('b', -6)] n=50, fixed words = 269256349194192530049834
g = [('a', 11), ('b', -14), ('a', -3), ('b', -10), ('a', -9), ('b', 1), ('a', 14), ('b', 9), ('a', -3), ('b', 8), ('a', 8), ('b', -4), ('a', 5), ('b', 9), ('a', -3)] n=50, fixed words = 171803146192394079920121
g = [('b', 9), ('a', -11), ('b', 1), ('a', -12), ('b', -1), ('a', 11), ('b', 11), ('a', 14), ('b', 8), ('a', 5), ('b', -14), ('a', -7), ('b', 6), ('a', 13), ('b', -8)] n=50, fixed words = 270335869598258157955122
g = [('b', 1), ('a', -8), ('b', 4), ('a', 12), ('b', 1), ('a', -3), ('b', 8), ('a', -5), ('b', 12), ('a', -5), ('b', 9), ('a', 11), ('b', -6), ('a', -2), ('b', 6)] n=50, fixed words = 336187215232868238514578
g = [('a', -5), ('b', -5), ('a', 5), ('b', -9), ('a', -11), ('b', 13), ('a', -5), ('b', 9), ('a', -13), ('b', -4), ('a', 15), ('b', 14), ('a', 5), ('b', -2), ('a', 10)] n=50, fixed words = 171803146192394079920121
g = [('b', 10), ('a', -3), ('b', -11), ('a', 15), ('b', -5), ('a', 2), ('b', 15), ('a', -2), ('b', -1), ('a', 14), ('b', -14), ('a', -7), ('b', 6), ('a', -15), ('b', 13)] n=50, fixed words = 171803146192394079920121
g = [('b', -12), ('a', -8), ('b', -8), ('a', -3), ('b', 6), ('a', 14), ('b', -14), ('a', 5), ('b', -13), ('a', -2), ('b', -3), ('a', 3), ('b', 3), ('a', -1), ('b', 2)] n=50, fixed words = 262610684191008930676419
g = [('a', -5), ('b', 10), ('a', -10), ('b', 3), ('a', 5), ('b', 5), ('a', 7), ('b', -15), ('a', 1), ('b', -2), ('a', -15), ('b', -8), ('a', -10), ('b', 9), ('a', -9)] n=50, fixed words = 318528687835076246484822
g = [('a', 11), ('b', 1), ('a', -1), ('b', 6), ('a', -7), ('b', 14), ('a', -3), ('b', -14), ('a', 3), ('b', 10), ('a', 3), ('b', 9), ('a', 13), ('b', 1), ('a', -15)] n=50, fixed words = 321780245019819999985152
g = [('a', -12), ('b', -13), ('a', -10), ('b', -11), ('a', -6), ('b', -13), ('a', 6), ('b', 6), ('a', 3), ('b', -11), ('a', 15), ('b', 13), ('a', 12), ('b', 13), ('a', -2)] n=50, fixed words = 275340171942689664816234
g = [('a', -3), ('b', -8), ('a', 12), ('b', 3), ('a', -6), ('b', 13), ('a', 2), ('b', 1), ('a', 1), ('b', -5), ('a', 2), ('b', 4), ('a', 4), ('b', -13), ('a', 1)] n=50, fixed words = 171803146192394079920121
g = [('a', 5), ('b', -13), ('a', 6), ('b', 2), ('a', -3), ('b', -9), ('a', 10), ('b', 5), ('a', 15), ('b', -7), ('a', -8), ('b', -8), ('a', -1), ('b', 2), ('a', 15)] n=50, fixed words = 270150458634130195049841
g = [('b', 9), ('a', -10), ('b', -8), ('a', -9), ('b', -6), ('a', -12), ('b', -11), ('a', 12), ('b', -7), ('a', 9), ('b', -12), ('a', -3), ('b', 9), ('a', -1), ('b', 9)] n=50, fixed words = 171803146192394079920121
g = [('b', 8), ('a', 7), ('b', -8), ('a', 2), ('b', 9), ('a', -9), ('b', -9), ('a', -2), ('b', 15), ('a', 7), ('b', -5), ('a', -10), ('b', -14), ('a', 9), ('b', -5)] n=50, fixed words = 305097116820887241653769
g = [('b', 1), ('a', 4), ('b', 2), ('a', -14), ('b', -12), ('a', 9), ('b', -10), ('a', 2), ('b', -10), ('a', -13), ('b', -9), ('a', -10), ('b', -6), ('a', 8), ('b', 4)] n=50, fixed words = 171803146192394079920121
g = [('a', 12), ('b', -3), ('a', 10), ('b', -6), ('a', -2), ('b', -8), ('a', -13), ('b', 12), ('a', 8), ('b', 11), ('a', -8), ('b', 7), ('a', -12), ('b', -2), ('a', -2)] n=50, fixed words = 171803146192394079920121
