g = [('a', -19), ('b', -20), ('a', 7), ('b', -19), ('a', -4), ('b', -10), ('a', 11), ('b', 20), ('a', 1), ('b', -1), ('a', -9), ('b', 7), ('a', -15), ('b', -15), ('a', 9), ('b', -15), ('a', 6), ('b', -9), ('a', -6), ('b', 10)] n=50, fixed words = 171803146192394079920121
g = [('a', 2), ('b', 13), ('a', -9), ('b', -3), ('a', -8), ('b', 10), ('a', 7), ('b', 11), ('a', 19), ('b', 20), ('a', -4), ('b', -9), ('a', 3), ('b', 1), ('a', -13), ('b', 13), ('a', 6), ('b', 7), ('a', 11), ('b', -12)] n=50, fixed words = 267401141211199606892604
g = [('a', 14), ('b', -12), ('a', 3), ('b', -2), ('a', 5), ('b', 13), ('a', -18), ('b', -8), ('a', 13), ('b', 14), ('a', 13), ('b', 9), ('a', 5), ('b', -18), ('a', -4), ('b', 16), ('a', 19), ('b', -4), ('a', -7), ('b', -8)] n=50, fixed words = 329549303973258368987886
g = [('b', -16), ('a', 7), ('b', 20), ('a', 12), ('b', -6), ('a', -20), ('b', -16), ('a', 20), ('b', 17), ('a', -9), ('b', 14), ('a', -12), ('b', -5), ('a', -7), ('b', -2), ('a', 7), ('b', 6), ('a', 3), ('b', -1), ('a', -1)] n=50, fixed words = 348491212840565475317946
g = [('b', 17), ('a', -16), ('b', -14), ('a', -13), ('b', 6), ('a', 7), ('b', 12), ('a', 5), ('b', 4), ('a', 13), ('b', -3), ('a', 14), ('b', -20), ('a', 11), ('b', -10), ('a', -12), ('b', 9), ('a', 7), ('b', 18), ('a', 16)] n=50, fixed words = 171803146192394079920121
g = [('a', 15), ('b', -18), ('a', -2), ('b', -19), ('a', 14), ('b', -13), ('a', -8), ('b', 6), ('a', -15), ('b', -15), ('a', 18), ('b', 7), ('a', -14), ('b', -11), ('a', -10), ('b', 4), ('a', 3), ('b', -20), ('a', -18), ('b', -10)] n=50, fixed words = 171803146192394079920121
g = [('b', -3), ('a', 20), ('b', 17), ('a', 2), ('b', 15), ('a', 4), ('b', -4), ('a', -2), ('b', 14), ('a', -3), ('b', -14), ('a', 18), ('b', 1), ('a', 18), ('b', -12), ('a', 1), ('b', -8), ('a', -2), ('b', -8), ('a', 11)] n=50, fixed words = 171803146192394079920121
g = [('b', 16), ('a', 8), ('b', 14), ('a', -8), ('b', 14), ('a', -4), ('b', 11), ('a', 15), ('b', 1), ('a', 18), ('b', -11), ('a', 8), ('b', -17), ('a', 6), ('b', -3), ('a', 13), ('b', 20), ('a', 11), ('b', -5), ('a', -4)] n=50, fixed words = 310304274479596969704819
g = [('b', 11), ('a', -2), ('b', 2), ('a', -9), ('b', 4), ('a', 4), ('b', -20), ('a', 16), ('b', 5), ('a', 12), ('b', 12), ('a', 16), ('b', 20), ('a', 18), ('b', -15), ('a', -12), ('b', 17), ('a', 1), ('b', -7), ('a', 2)] n=50, fixed words = 171803146192394079920121
g = [('b', -12), ('a', 8), ('b', -1), ('a', 4), ('b', -15), ('a', 17), ('b', -4), ('a', 12), ('b', -10), ('a', 14), ('b', 1), ('a', 18), ('b', 3), ('a', 11), ('b', -1), ('a', 9), ('b', -6), ('a', 16), ('b', 5), ('a', -18)] n=50, fixed words = 171803146192394079920121
g = [('a', 15), ('b', 8), ('a', -17), ('b', -14), ('a', -16), ('b', -18), ('a', -15), ('b', 7), ('a', 4), ('b', -11), ('a', 3), ('b', 10), ('a', 15), ('b', 5), ('a', 10), ('b', 15), ('a', 13), ('b', 20), ('a', 15), ('b', 7)] n=50, fixed words = 333217530936724076493660
