g = [('b', 2), ('a', 4), ('b', -8), ('a', -4), ('b', 8), ('a', -10), ('b', 6)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -1), ('b', 3), ('a', -2), ('b', 9), ('a', 10), ('b', -2), ('a', 8)] n=100, fixed words = 74605739878132508206724748187424799842387569359
g = [('b', 8), ('a', 3), ('b', -2), ('a', 1), ('b', 9), ('a', -6), ('b', -6)] n=100, fixed words = 103256667012696068099376983656336413987486554004
g = [('b', 10), ('a', -8), ('b', -1), ('a', -6), ('b', 10), ('a', -10), ('b', -10)] n=100, fixed words = 271941515037152351625126138328285722100584116622
g = [('b', 2), ('a', 10), ('b', 9), ('a', -6), ('b', -8), ('a', 9), ('b', -10)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', 1), ('b', 8), ('a', -4), ('b', 6), ('a', 2), ('b', -9), ('a', 7)] n=100, fixed words = 74605739878132508206724748187424799842387569359
g = [('b', 1), ('a', -2), ('b', 2), ('a', -10), ('b', 4), ('a', -9), ('b', 1)] n=100, fixed words = 75167381331650159130177519833036472566580525717
g = [('a', -8), ('b', -3), ('a', 4), ('b', -1), ('a', -9), ('b', -5), ('a', 6)] n=100, fixed words = 102916283765270708169529881407674598514150806760
g = [('a', -1), ('b', 2), ('a', -5), ('b', 2), ('a', -10), ('b', -10), ('a', 7)] n=100, fixed words = 216175393705240324592661520105887647154790170711
g = [('a', -10), ('b', 2), ('a', -1), ('b', 6), ('a', 5), ('b', 6), ('a', -8)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', 7), ('b', -5), ('a', -10), ('b', 2), ('a', -9), ('b', -10), ('a', -8)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', 3), ('b', -9), ('a', 2), ('b', 4), ('a', 9), ('b', 7), ('a', -9)] n=100, fixed words = 29763262633199482886345519360120838067631398155
g = [('a', -8), ('b', -8), ('a', 9), ('b', -8), ('a', -7), ('b', -9), ('a', -9)] n=100, fixed words = 76240442918624033564564065723962940551038280783
g = [('b', -7), ('a', 4), ('b', 3), ('a', -5), ('b', -2), ('a', 8), ('b', 6)] n=100, fixed words = 117634092306099294130972560516506215891306604319
