g = [('a', -7), ('b', 1), ('a', 3), ('b', 1), ('a', -3), ('b', -8), ('a', 1)] n=11, fixed words = 164511
g = [('a', -1), ('b', 2), ('a', -9), ('b', 8), ('a', -10), ('b', 4), ('a', -2)] n=11, fixed words = 132813
g = [('a', 7), ('b', -3), ('a', -9), ('b', -6), ('a', -7), ('b', -7), ('a', 6)] n=11, fixed words = 147987
g = [('a', 5), ('b', 8), ('a', 10), ('b', 7), ('a', 8), ('b', 2), ('a', 6)] n=11, fixed words = 132813
g = [('a', -8), ('b', -7), ('a', 7), ('b', -1), ('a', 8), ('b', 10), ('a', 1)] n=11, fixed words = 132813
g = [('a', -10), ('b', 8), ('a', 10), ('b', 5), ('a', -9), ('b', -10), ('a', -3)] n=11, fixed words = 162891
g = [('a', -7), ('b', -10), ('a', 5), ('b', -3), ('a', -3), ('b', 8), ('a', 2)] n=11, fixed words = 147501
g = [('b', 5), ('a', -8), ('b', -7), ('a', 1), ('b', -5), ('a', -5), ('b', -2)] n=11, fixed words = 167292
g = [('a', -5), ('b', -6), ('a', 8), ('b', -10), ('a', -1), ('b', -8), ('a', 4)] n=11, fixed words = 162810
g = [('a', 5), ('b', 10), ('a', 6), ('b', -6), ('a', -5), ('b', -7), ('a', -1)] n=11, fixed words = 147501
g = [('a', -9), ('b', 4), ('a', 4), ('b', 4), ('a', 6), ('b', -4), ('a', 8)] n=11, fixed words = 152388
g = [('a', -1), ('b', -5), ('a', -2), ('b', 10), ('a', 5), ('b', 1), ('a', -9)] n=11, fixed words = 147015
g = [('a', -9), ('b', -1), ('a', 2), ('b', 6), ('a', 4), ('b', -8), ('a', -3)] n=11, fixed words = 164592
g = [('a', 4), ('b', 9), ('a', 10), ('b', 6), ('a', -6), ('b', 10), ('a', 2)] n=11, fixed words = 132813
g = [('a', -3), ('b', -8), ('a', -1), ('b', 9), ('a', 6), ('b', 2), ('a', -5)] n=11, fixed words = 162891
