g = [('a', 5), ('b', 2), ('a', -9), ('b', 7), ('a', 3), ('b', 1), ('a', -10)] n=15, fixed words = 9568503
g = [('b', -8), ('a', 4), ('b', -4), ('a', 10), ('b', 2), ('a', 6), ('b', 1)] n=15, fixed words = 11456802
g = [('b', 7), ('a', -8), ('b', 10), ('a', 1), ('b', -5), ('a', -3), ('b', 9)] n=15, fixed words = 10990323
g = [('a', -8), ('b', 3), ('a', 3), ('b', 7), ('a', -10), ('b', 3), ('a', 6)] n=15, fixed words = 11540556
g = [('b', -7), ('a', 4), ('b', 8), ('a', -9), ('b', 1), ('a', 10), ('b', -3)] n=15, fixed words = 9568503
g = [('a', 7), ('b', 1), ('a', 4), ('b', -5), ('a', 1), ('b', -5), ('a', -10)] n=15, fixed words = 11456802
g = [('b', -9), ('a', -5), ('b', -10), ('a', 4), ('b', 8), ('a', 9), ('b', -3)] n=15, fixed words = 9568503
g = [('a', -8), ('b', 10), ('a', -3), ('b', 6), ('a', 1), ('b', 10), ('a', 7)] n=15, fixed words = 11008791
g = [('b', -9), ('a', -5), ('b', 9), ('a', -1), ('b', -4), ('a', -6), ('b', 4)] n=15, fixed words = 13525380
g = [('b', -6), ('a', -7), ('b', -4), ('a', 6), ('b', 1), ('a', 10), ('b', 3)] n=15, fixed words = 13262454
g = [('a', 2), ('b', 1), ('a', 7), ('b', -4), ('a', 8), ('b', -5), ('a', -4)] n=15, fixed words = 9568503
g = [('a', 10), ('b', -6), ('a', 8), ('b', 5), ('a', -8), ('b', -2), ('a', -4)] n=15, fixed words = 12562371
g = [('a', 1), ('b', -2), ('a', -8), ('b', -8), ('a', 10), ('b', -4), ('a', 1)] n=15, fixed words = 9568503
g = [('b', 9), ('a', -1), ('b', -1), ('a', -9), ('b', 9), ('a', 7), ('b', 8)] n=15, fixed words = 11008791
g = [('b', -10), ('a', -3), ('b', 8), ('a', -2), ('b', 4), ('a', -10), ('b', 9)] n=15, fixed words = 11008791
g = [('a', -8), ('b', -5), ('a', -2), ('b', 9), ('a', -2), ('b', 10), ('a', 8)] n=15, fixed words = 9568503
g = [('a', 4), ('b', -5), ('a', 1), ('b', -4), ('a', -4), ('b', 7), ('a', -1)] n=15, fixed words = 11682522
g = [('a', -3), ('b', -2), ('a', 7), ('b', 10), ('a', -10), ('b', 5), ('a', 2)] n=15, fixed words = 9568503
g = [('b', -8), ('a', -3), ('b', -9), ('a', 10), ('b', 5), ('a', 2), ('b', -2)] n=15, fixed words = 11482641
g = [('b', 7), ('a', 3), ('b', 2), ('a', 10), ('b', 1), ('a', 1), ('b', -10)] n=15, fixed words = 11686410
g = [('b', 9), ('a', -5), ('b', -2), ('a', -9), ('b', -10), ('a', -8), ('b', -6)] n=15, fixed words = 11540556
g = [('b', 9), ('a', -3), ('b', -4), ('a', -1), ('b', 1), ('a', 10), ('b', 1)] n=15, fixed words = 11058039
g = [('b', 3), ('a', -2), ('b', 10), ('a', -7), ('b', 8), ('a', 9), ('b', 7)] n=15, fixed words = 11755908
g = [('b', 2), ('a', -6), ('b', 8), ('a', 9), ('b', 2), ('a', -3), ('b', -3)] n=15, fixed words = 14036409
g = [('b', 3), ('a', 8), ('b', -10), ('a', 1), ('b', -7), ('a', -2), ('b', -1)] n=15, fixed words = 10941075
g = [('b', 7), ('a', -4), ('b', 4), ('a', -9), ('b', -9), ('a', 2), ('b', -9)] n=15, fixed words = 9568503
g = [('a', 10), ('b', 3), ('a', -5), ('b', -8), ('a', -2), ('b', 8), ('a', 8)] n=15, fixed words = 11008791
g = [('b', -7), ('a', -9), ('b', -3), ('a', -6), ('b', -4), ('a', -4), ('b', -7)] n=15, fixed words = 11058039
