g = [('b', 9), ('a', -6), ('b', 10), ('a', -6), ('b', -5), ('a', -7), ('b', -2)] n=20, fixed words = 2383070490
g = [('a', 2), ('b', 2), ('a', -9), ('b', 6), ('a', 2), ('b', 6), ('a', -6)] n=20, fixed words = 1958440401
g = [('b', -5), ('a', 1), ('b', -8), ('a', -7), ('b', -7), ('a', 2), ('b', -3)] n=20, fixed words = 1958440401
g = [('a', 6), ('b', 1), ('a', 5), ('b', -9), ('a', -4), ('b', 2), ('a', -7)] n=20, fixed words = 3095743653
g = [('b', -3), ('a', 4), ('b', 1), ('a', 10), ('b', 4), ('a', -5), ('b', -5)] n=20, fixed words = 2954288052
g = [('b', 6), ('a', 9), ('b', -9), ('a', 7), ('b', -9), ('a', -8), ('b', -9)] n=20, fixed words = 2398086270
g = [('b', 5), ('a', 2), ('b', 8), ('a', 7), ('b', -10), ('a', -4), ('b', -3)] n=20, fixed words = 2572807923
g = [('a', -7), ('b', -9), ('a', 3), ('b', 4), ('a', 7), ('b', -4), ('a', 4)] n=20, fixed words = 2552965290
g = [('a', 6), ('b', 1), ('a', -9), ('b', -4), ('a', 3), ('b', -8), ('a', 8)] n=20, fixed words = 1958440401
g = [('b', -4), ('a', -1), ('b', 6), ('a', -10), ('b', -6), ('a', -4), ('b', -1)] n=20, fixed words = 2383070490
g = [('b', -6), ('a', -4), ('b', -5), ('a', -1), ('b', 10), ('a', 7), ('b', -9)] n=20, fixed words = 1958440401
g = [('a', -9), ('b', -1), ('a', 1), ('b', 3), ('a', -5), ('b', 4), ('a', 1)] n=20, fixed words = 2838295404
g = [('a', 2), ('b', -2), ('a', -1), ('b', 1), ('a', 8), ('b', 3), ('a', 8)] n=20, fixed words = 1958440401
g = [('a', 7), ('b', -8), ('a', -7), ('b', 3), ('a', -6), ('b', -3), ('a', -1)] n=20, fixed words = 1958440401
g = [('a', -2), ('b', -1), ('a', -3), ('b', 3), ('a', -5), ('b', -7), ('a', -4)] n=20, fixed words = 1958440401
g = [('b', 8), ('a', 5), ('b', 6), ('a', -4), ('b', -1), ('a', 10), ('b', -3)] n=20, fixed words = 1958440401
g = [('a', -8), ('b', -9), ('a', -5), ('b', -9), ('a', -7), ('b', -4), ('a', 1)] n=20, fixed words = 1958440401
g = [('b', -3), ('a', -5), ('b', 5), ('a', 9), ('b', -6), ('a', -1), ('b', 6)] n=20, fixed words = 2390576922
g = [('b', -6), ('a', 1), ('b', 4), ('a', 8), ('b', -7), ('a', 4), ('b', 5)] n=20, fixed words = 1958440401
g = [('b', -10), ('a', 4), ('b', 6), ('a', -5), ('b', -9), ('a', 6), ('b', 5)] n=20, fixed words = 1958440401
g = [('b', -3), ('a', 6), ('b', -5), ('a', -2), ('b', 4), ('a', -5), ('b', 5)] n=20, fixed words = 1958440401
g = [('a', -6), ('b', -10), ('a', 4), ('b', 8), ('a', -7), ('b', 9), ('a', -4)] n=20, fixed words = 1958440401
g = [('a', -4), ('b', 6), ('a', -5), ('b', -5), ('a', 8), ('b', 6), ('a', -2)] n=20, fixed words = 2390576922
g = [('b', -7), ('a', -8), ('b', 3), ('a', -8), ('b', 10), ('a', -1), ('b', 8)] n=20, fixed words = 1958440401
g = [('b', -6), ('a', -7), ('b', -1), ('a', -1), ('b', -6), ('a', -6), ('b', -4)] n=20, fixed words = 1958440401
g = [('b', 6), ('a', 7), ('b', -2), ('a', 5), ('b', 6), ('a', 5), ('b', -1)] n=20, fixed words = 2517317217
g = [('a', 7), ('b', 3), ('a', -3), ('b', -5), ('a', -8), ('b', -8), ('a', 10)] n=20, fixed words = 2374194456
g = [('a', 6), ('b', -10), ('a', 10), ('b', 6), ('a', -10), ('b', -6), ('a', -10)] n=20, fixed words = 1958440401
g = [('a', 4), ('b', -7), ('a', -6), ('b', -7), ('a', -10), ('b', 9), ('a', 10)] n=20, fixed words = 1958440401
g = [('a', 8), ('b', 8), ('a', 6), ('b', 7), ('a', -9), ('b', -6), ('a', 7)] n=20, fixed words = 3108134511
g = [('b', -6), ('a', 2), ('b', 3), ('a', -3), ('b', -1), ('a', 5), ('b', 8)] n=20, fixed words = 1958440401
g = [('b', 1), ('a', -8), ('b', -6), ('a', 7), ('b', 6), ('a', 2), ('b', 2)] n=20, fixed words = 2398086270
g = [('a', -9), ('b', -1), ('a', 8), ('b', 9), ('a', -5), ('b', 8), ('a', 7)] n=20, fixed words = 1958440401
g = [('a', -3), ('b', 7), ('a', -8), ('b', 1), ('a', 5), ('b', -6), ('a', 6)] n=20, fixed words = 2594185173
g = [('b', -9), ('a', -6), ('b', 1), ('a', 4), ('b', -5), ('a', 1), ('b', -3)] n=20, fixed words = 1958440401
g = [('a', 6), ('b', -10), ('a', -3), ('b', 4), ('a', -2), ('b', -10), ('a', -1)] n=20, fixed words = 2606366511
g = [('a', 2), ('b', -3), ('a', 6), ('b', 2), ('a', 3), ('b', -6), ('a', 6)] n=20, fixed words = 1958440401
g = [('a', -6), ('b', 7), ('a', -1), ('b', 4), ('a', 4), ('b', 9), ('a', 9)] n=20, fixed words = 2374194456
g = [('a', 5), ('b', -10), ('a', 7), ('b', -9), ('a', 6), ('b', -10), ('a', 5)] n=20, fixed words = 1958440401
g = [('a', 8), ('b', -3), ('a', -9), ('b', 1), ('a', 6), ('b', -3), ('a', -2)] n=20, fixed words = 2398086270
g = [('a', 9), ('b', -6), ('a', 8), ('b', -3), ('a', 7), ('b', -8), ('a', 5)] n=20, fixed words = 1958440401
g = [('a', -5), ('b', -8), ('a', 10), ('b', -2), ('a', -5), ('b', -10), ('a', -9)] n=20, fixed words = 2493767790
g = [('a', 4), ('b', 5), ('a', 3), ('b', -6), ('a', -7), ('b', -3), ('a', -3)] n=20, fixed words = 2390576922
g = [('a', 2), ('b', 5), ('a', 5), ('b', 5), ('a', -2), ('b', 5), ('a', -1)] n=20, fixed words = 2350403406
g = [('b', 9), ('a', -8), ('b', 7), ('a', -7), ('b', -10), ('a', -8), ('b', 3)] n=20, fixed words = 2525693427
g = [('a', -9), ('b', 1), ('a', -10), ('b', 4), ('a', 9), ('b', 4), ('a', -6)] n=20, fixed words = 2541557169
g = [('b', 10), ('a', 8), ('b', -3), ('a', 5), ('b', 3), ('a', -7), ('b', -3)] n=20, fixed words = 2383070490
g = [('a', -5), ('b', 8), ('a', 10), ('b', 7), ('a', -2), ('b', -6), ('a', 7)] n=20, fixed words = 2548187991
g = [('a', -5), ('b', 9), ('a', 6), ('b', -9), ('a', 6), ('b', 3), ('a', -3)] n=20, fixed words = 2398086270
g = [('b', 10), ('a', 1), ('b', 1), ('a', 7), ('b', 9), ('a', 5), ('b', 10)] n=20, fixed words = 2390521518
g = [('a', -7), ('b', 8), ('a', 7), ('b', 1), ('a', -6), ('b', -8), ('a', -4)] n=20, fixed words = 1958440401
g = [('a', 7), ('b', -1), ('a', 7), ('b', -7), ('a', -4), ('b', -2), ('a', 5)] n=20, fixed words = 2390371344
g = [('b', -1), ('a', -1), ('b', 3), ('a', -3), ('b', -5), ('a', -4), ('b', 9)] n=20, fixed words = 2374194456
g = [('b', 10), ('a', -10), ('b', 10), ('a', -7), ('b', 4), ('a', -7), ('b', 9)] n=20, fixed words = 2795074695
g = [('a', 9), ('b', -1), ('a', -10), ('b', -4), ('a', 1), ('b', 4), ('a', 10)] n=20, fixed words = 1958440401
g = [('a', -10), ('b', -10), ('a', 9), ('b', 10), ('a', -9), ('b', -7), ('a', -3)] n=20, fixed words = 1958440401
g = [('a', -6), ('b', 7), ('a', 8), ('b', 3), ('a', -7), ('b', -8), ('a', -4)] n=20, fixed words = 2517428754
