g = [('b', -6), ('a', -10), ('b', -7), ('a', 1), ('b', -2), ('a', 5), ('b', 7)] n=20, fixed words = 1958440401
g = [('b', -8), ('a', 10), ('b', 10), ('a', 1), ('b', -8), ('a', 7), ('b', 8)] n=20, fixed words = 2525845545
g = [('b', 1), ('a', -8), ('b', 5), ('a', -1), ('b', -7), ('a', -6), ('b', -9)] n=20, fixed words = 2390521275
g = [('a', 10), ('b', 4), ('a', 1), ('b', -5), ('a', -10), ('b', -8), ('a', -9)] n=20, fixed words = 2498118138
g = [('a', -5), ('b', -3), ('a', -5), ('b', -9), ('a', 5), ('b', 10), ('a', -10)] n=20, fixed words = 2395809117
g = [('b', -8), ('a', 6), ('b', -4), ('a', 9), ('b', -6), ('a', -10), ('b', -5)] n=20, fixed words = 1958440401
g = [('a', 5), ('b', 2), ('a', 1), ('b', -1), ('a', 6), ('b', 5), ('a', 5)] n=20, fixed words = 2366705520
g = [('a', -5), ('b', 9), ('a', -10), ('b', 1), ('a', 7), ('b', -1), ('a', -3)] n=20, fixed words = 2550435660
g = [('b', -9), ('a', -5), ('b', 2), ('a', -5), ('b', 7), ('a', -6), ('b', 7)] n=20, fixed words = 1958440401
g = [('b', -2), ('a', 5), ('b', 7), ('a', 2), ('b', 2), ('a', -7), ('b', -1)] n=20, fixed words = 3084673608
g = [('a', -7), ('b', -1), ('a', -1), ('b', -5), ('a', -4), ('b', -6), ('a', -7)] n=20, fixed words = 2395548135
g = [('a', -10), ('b', -1), ('a', 2), ('b', -5), ('a', -7), ('b', 7), ('a', -3)] n=20, fixed words = 2495407959
g = [('b', 10), ('a', -2), ('b', 10), ('a', 3), ('b', 4), ('a', 5), ('b', -3)] n=20, fixed words = 2838295404
g = [('b', -4), ('a', 10), ('b', 6), ('a', -8), ('b', 1), ('a', -4), ('b', 8)] n=20, fixed words = 1958440401
g = [('b', 5), ('a', 2), ('b', 10), ('a', -9), ('b', -10), ('a', 1), ('b', 5)] n=20, fixed words = 2398024305
g = [('a', -10), ('b', 6), ('a', -8), ('b', -1), ('a', 2), ('b', 9), ('a', 1)] n=20, fixed words = 2390576922
g = [('b', 10), ('a', -3), ('b', 6), ('a', 4), ('b', 9), ('a', 3), ('b', -2)] n=20, fixed words = 1958440401
g = [('a', -1), ('b', 2), ('a', 5), ('b', -10), ('a', -1), ('b', 9), ('a', -6)] n=20, fixed words = 2371920219
g = [('b', 1), ('a', 7), ('b', -1), ('a', 1), ('b', -6), ('a', 10), ('b', -2)] n=20, fixed words = 2515653558
