g = [('b', -3), ('a', 1), ('b', -9), ('a', -10), ('b', 6), ('a', 5), ('b', 9)] n=50, fixed words = 278269621927473364725015
g = [('a', -2), ('b', -3), ('a', -2), ('b', -7), ('a', -9), ('b', 2), ('a', -3)] n=50, fixed words = 171803146192394079920121
g = [('a', -10), ('b', -8), ('a', 4), ('b', 6), ('a', 7), ('b', 2), ('a', -3)] n=50, fixed words = 343237333262746588950330
g = [('b', -1), ('a', -1), ('b', 10), ('a', -10), ('b', -7), ('a', 3), ('b', 1)] n=50, fixed words = 270347426989687423469493
g = [('b', -3), ('a', 10), ('b', 4), ('a', -4), ('b', -8), ('a', 6), ('b', -1)] n=50, fixed words = 275375581323177720369555
g = [('a', 10), ('b', -9), ('a', -6), ('b', 2), ('a', 7), ('b', -9), ('a', 10)] n=50, fixed words = 277293090426295144282380
g = [('b', 1), ('a', -8), ('b', -10), ('a', -4), ('b', -4), ('a', 3), ('b', -10)] n=50, fixed words = 314235755221030396947828
g = [('b', 10), ('a', -5), ('b', 10), ('a', -6), ('b', -7), ('a', 7), ('b', -7)] n=50, fixed words = 275476415634082114660395
g = [('b', 9), ('a', 7), ('b', 5), ('a', -8), ('b', 7), ('a', 10), ('b', -9)] n=50, fixed words = 481412385547511909485077
g = [('a', 3), ('b', -10), ('a', 9), ('b', -4), ('a', -3), ('b', -7), ('a', -5)] n=50, fixed words = 274506328712328151907277
g = [('a', 9), ('b', -10), ('a', -9), ('b', 1), ('a', -7), ('b', 7), ('a', -3)] n=50, fixed words = 171803146192394079920121
g = [('a', 10), ('b', 6), ('a', 3), ('b', 3), ('a', -10), ('b', 4), ('a', 8)] n=50, fixed words = 171803146192394079920121
g = [('a', 9), ('b', -7), ('a', 9), ('b', -10), ('a', -10), ('b', -5), ('a', -1)] n=50, fixed words = 171803146192394079920121
g = [('b', -1), ('a', -8), ('b', -2), ('a', -10), ('b', 9), ('a', 7), ('b', -5)] n=50, fixed words = 171803146192394079920121
g = [('b', 5), ('a', -3), ('b', -4), ('a', -5), ('b', -3), ('a', 8), ('b', -7)] n=50, fixed words = 623645336581919653009878
g = [('a', -7), ('b', -1), ('a', 1), ('b', -2), ('a', -4), ('b', 5), ('a', -3)] n=50, fixed words = 171803146192394079920121
g = [('b', 9), ('a', 7), ('b', 2), ('a', 7), ('b', -7), ('a', -9), ('b', 7)] n=50, fixed words = 171803146192394079920121
g = [('b', -1), ('a', 4), ('b', -1), ('a', -1), ('b', -5), ('a', -8), ('b', 1)] n=50, fixed words = 270347426989687423469493
g = [('b', -8), ('a', 10), ('b', -6), ('a', 9), ('b', -5), ('a', -8), ('b', -3)] n=50, fixed words = 171803146192394079920121
g = [('a', 3), ('b', -3), ('a', 2), ('b', 10), ('a', 2), ('b', 8), ('a', -9)] n=50, fixed words = 270347426989687423469493
g = [('a', 8), ('b', -1), ('a', -4), ('b', 8), ('a', -4), ('b', -10), ('a', -9)] n=50, fixed words = 452176119795238185798045
g = [('b', 5), ('a', 10), ('b', -10), ('a', -1), ('b', 4), ('a', 3), ('b', 8)] n=50, fixed words = 270347426989687423469493
g = [('a', -3), ('b', -3), ('a', 7), ('b', 2), ('a', 6), ('b', -1), ('a', 5)] n=50, fixed words = 275476415634082114660395
g = [('b', -8), ('a', 3), ('b', -2), ('a', 7), ('b', -10), ('a', 10), ('b', -1)] n=50, fixed words = 270347426989687423469493
g = [('a', 9), ('b', -3), ('a', -7), ('b', 4), ('a', -7), ('b', -9), ('a', -1)] n=50, fixed words = 274506328712328151907277
g = [('a', -10), ('b', 2), ('a', 8), ('b', 10), ('a', 10), ('b', -3), ('a', -7)] n=50, fixed words = 316837649212001411056029
g = [('a', 6), ('b', 3), ('a', -5), ('b', -9), ('a', -1), ('b', 9), ('a', -4)] n=50, fixed words = 278269621927473364725015
g = [('b', 4), ('a', 9), ('b', -10), ('a', -6), ('b', 8), ('a', 5), ('b', -4)] n=50, fixed words = 171803146192394079920121
g = [('a', -3), ('b', 9), ('a', 8), ('b', 3), ('a', -10), ('b', 9), ('a', -1)] n=50, fixed words = 448653251267434818601713
g = [('b', 6), ('a', 3), ('b', -8), ('a', 10), ('b', 10), ('a', 3), ('b', -7)] n=50, fixed words = 171803146192394079920121
g = [('a', -3), ('b', 3), ('a', -5), ('b', 3), ('a', -8), ('b', -2), ('a', 9)] n=50, fixed words = 171803146192394079920121
g = [('b', 7), ('a', 4), ('b', 7), ('a', -2), ('b', -7), ('a', -4), ('b', 5)] n=50, fixed words = 278269621927473364725015
g = [('b', 10), ('a', 1), ('b', 8), ('a', 4), ('b', -4), ('a', 8), ('b', -6)] n=50, fixed words = 171803146192394079920121
g = [('a', -6), ('b', 3), ('a', 2), ('b', -7), ('a', 3), ('b', -6), ('a', -5)] n=50, fixed words = 275476415634082114660395
g = [('b', -7), ('a', -3), ('b', 8), ('a', 9), ('b', 1), ('a', 3), ('b', 7)] n=50, fixed words = 616686837257712574480725
g = [('a', 1), ('b', 10), ('a', -10), ('b', 9), ('a', 3), ('b', 5), ('a', 6)] n=50, fixed words = 515607138992276079439257
g = [('a', -8), ('b', -7), ('a', -6), ('b', 4), ('a', 3), ('b', -10), ('a', -2)] n=50, fixed words = 171803146192394079920121
g = [('a', -8), ('b', -6), ('a', 3), ('b', -7), ('a', 8), ('b', 7), ('a', -3)] n=50, fixed words = 517670752512991786533387
g = [('b', 6), ('a', 10), ('b', 3), ('a', -5), ('b', 9), ('a', -6), ('b', -10)] n=50, fixed words = 171803146192394079920121
g = [('b', -3), ('a', 1), ('b', -9), ('a', -2), ('b', -6), ('a', 1), ('b', 7)] n=50, fixed words = 349270431713090363297349
g = [('a', 2), ('b', -3), ('a', -1), ('b', -4), ('a', 6), ('b', 2), ('a', -9)] n=50, fixed words = 171803146192394079920121
g = [('a', -3), ('b', -1), ('a', 3), ('b', 8), ('a', 8), ('b', 9), ('a', 2)] n=50, fixed words = 171803146192394079920121
g = [('b', -3), ('a', 5), ('b', -10), ('a', 4), ('b', 10), ('a', 3), ('b', -10)] n=50, fixed words = 275440118054466727189026
g = [('a', -5), ('b', -7), ('a', -9), ('b', 4), ('a', 3), ('b', 6), ('a', -3)] n=50, fixed words = 277293090426295144282380
g = [('b', 5), ('a', 1), ('b', -7), ('a', -7), ('b', -2), ('a', -2), ('b', -9)] n=50, fixed words = 171803146192394079920121
g = [('a', 4), ('b', -7), ('a', 5), ('b', -2), ('a', -10), ('b', 2), ('a', 1)] n=50, fixed words = 332208193446435386676789
g = [('b', -2), ('a', 10), ('b', 2), ('a', -10), ('b', 5), ('a', -1), ('b', 5)] n=50, fixed words = 171803146192394079920121
g = [('b', -7), ('a', 6), ('b', 10), ('a', 2), ('b', 2), ('a', 5), ('b', -2)] n=50, fixed words = 270347426989687423469493
g = [('b', -1), ('a', -10), ('b', -10), ('a', -10), ('b', 1), ('a', 10), ('b', 7)] n=50, fixed words = 278225754858068058180441
g = [('a', 10), ('b', -1), ('a', 4), ('b', 8), ('a', -10), ('b', -7), ('a', -4)] n=50, fixed words = 626942795478654843736677
g = [('a', 10), ('b', -2), ('a', 4), ('b', -8), ('a', 7), ('b', -4), ('a', -8)] n=50, fixed words = 171803146192394079920121
g = [('a', -3), ('b', 9), ('a', 3), ('b', -10), ('a', -8), ('b', 4), ('a', 4)] n=50, fixed words = 270347426989687423469493
g = [('b', -10), ('a', -3), ('b', 6), ('a', -1), ('b', -8), ('a', 3), ('b', 3)] n=50, fixed words = 322530311014216001165952
g = [('a', 3), ('b', 7), ('a', 1), ('b', 9), ('a', 10), ('b', 4), ('a', 7)] n=50, fixed words = 269390792563698728424402
g = [('a', 9), ('b', 8), ('a', -10), ('b', 6), ('a', 2), ('b', 1), ('a', 2)] n=50, fixed words = 410880749885526909538179
g = [('a', -4), ('b', -7), ('a', -4), ('b', -7), ('a', -5), ('b', -1), ('a', -4)] n=50, fixed words = 262610684191008930676419
g = [('b', 9), ('a', 9), ('b', -10), ('a', -10), ('b', -5), ('a', -7), ('b', -6)] n=50, fixed words = 270347426989687423469493
g = [('b', -1), ('a', 5), ('b', -8), ('a', 6), ('b', 9), ('a', 10), ('b', 6)] n=50, fixed words = 414573453791040436560945
g = [('b', -4), ('a', 10), ('b', -8), ('a', 9), ('b', -6), ('a', -10), ('b', 8)] n=50, fixed words = 316404454637107650099492
g = [('a', 5), ('b', -4), ('a', 9), ('b', -5), ('a', 6), ('b', -3), ('a', -10)] n=50, fixed words = 277293090426295144282380
g = [('b', -10), ('a', -10), ('b', -6), ('a', -10), ('b', 8), ('a', 6), ('b', 5)] n=50, fixed words = 275476415634082114660395
g = [('b', 6), ('a', -7), ('b', 1), ('a', 5), ('b', 9), ('a', -9), ('b', -5)] n=50, fixed words = 171803146192394079920121
g = [('b', 8), ('a', -9), ('b', -2), ('a', 7), ('b', 10), ('a', -4), ('b', 8)] n=50, fixed words = 413304598011412344944457
g = [('a', 8), ('b', 8), ('a', -10), ('b', 1), ('a', -3), ('b', 1), ('a', -5)] n=50, fixed words = 171803146192394079920121
g = [('a', 1), ('b', -9), ('a', 2), ('b', 4), ('a', -8), ('b', -1), ('a', -4)] n=50, fixed words = 481092532660419776018235
g = [('b', 4), ('a', 8), ('b', 10), ('a', -8), ('b', 7), ('a', 2), ('b', -6)] n=50, fixed words = 262610684191008930676419
g = [('a', 5), ('b', -10), ('a', -4), ('b', -3), ('a', -8), ('b', -3), ('a', 6)] n=50, fixed words = 171803146192394079920121
g = [('b', -7), ('a', 8), ('b', -5), ('a', -2), ('b', -4), ('a', 4), ('b', 1)] n=50, fixed words = 275440118054466727189026
g = [('a', 4), ('b', -10), ('a', 5), ('b', 10), ('a', -7), ('b', 4), ('a', 8)] n=50, fixed words = 171803146192394079920121
g = [('b', 2), ('a', 7), ('b', 1), ('a', 8), ('b', 8), ('a', -8), ('b', 5)] n=50, fixed words = 171803146192394079920121
g = [('a', 3), ('b', -5), ('a', 9), ('b', 1), ('a', -1), ('b', -6), ('a', 3)] n=50, fixed words = 171803146192394079920121
g = [('b', -2), ('a', -4), ('b', 7), ('a', 9), ('b', -10), ('a', -2), ('b', -9)] n=50, fixed words = 275441513449198212088686
g = [('a', 9), ('b', 5), ('a', 6), ('b', -5), ('a', -7), ('b', 2), ('a', 8)] n=50, fixed words = 171803146192394079920121
