g = [('a', 3), ('b', -1), ('a', -1), ('b', 3), ('a', -1), ('b', -1), ('a', 3), ('b', 2), ('a', -1), ('b', 3)] n=10, fixed words = 54243
g = [('a', -3), ('b', 2), ('a', -1), ('b', -1), ('a', 3), ('b', -1), ('a', -2), ('b', -2), ('a', 3), ('b', 1)] n=10, fixed words = 51120
g = [('b', -3), ('a', -3), ('b', 3), ('a', 3), ('b', -2), ('a', -2), ('b', 2), ('a', -1), ('b', 2), ('a', -2)] n=10, fixed words = 44271
g = [('b', -3), ('a', -1), ('b', 2), ('a', -3), ('b', -2), ('a', -3), ('b', -1), ('a', 3), ('b', 3), ('a', 1)] n=10, fixed words = 49302
g = [('a', 3), ('b', 3), ('a', 1), ('b', 2), ('a', -3), ('b', -2), ('a', -2), ('b', -3), ('a', -2), ('b', 1)] n=10, fixed words = 49302
g = [('a', 2), ('b', -2), ('a', 2), ('b', -1), ('a', -2), ('b', -3), ('a', 3), ('b', 2), ('a', -2), ('b', 3)] n=10, fixed words = 49275
g = [('b', -3), ('a', 3), ('b', 3), ('a', 2), ('b', 3), ('a', 2), ('b', -1), ('a', 1), ('b', -2), ('a', -1)] n=10, fixed words = 51264
g = [('b', -2), ('a', 1), ('b', -2), ('a', 2), ('b', -2), ('a', 1), ('b', -3), ('a', -2), ('b', -2), ('a', 1)] n=10, fixed words = 49005
g = [('b', -3), ('a', -2), ('b', -1), ('a', 2), ('b', 3), ('a', -3), ('b', -1), ('a', 3), ('b', 2), ('a', 3)] n=10, fixed words = 56304
g = [('b', -3), ('a', 3), ('b', -3), ('a', -3), ('b', 1), ('a', -3), ('b', -2), ('a', 3), ('b', -3), ('a', -1)] n=10, fixed words = 44271
g = [('b', -1), ('a', -3), ('b', 3), ('a', -1), ('b', -2), ('a', 2), ('b', 3), ('a', -2), ('b', -1), ('a', -3)] n=10, fixed words = 44271
g = [('a', 3), ('b', 2), ('a', 2), ('b', 3), ('a', -1), ('b', -2), ('a', 2), ('b', 2), ('a', -2), ('b', 2)] n=10, fixed words = 44271
g = [('a', -2), ('b', -2), ('a', -3), ('b', 3), ('a', 1), ('b', -2), ('a', -2), ('b', 1), ('a', -1), ('b', 3)] n=10, fixed words = 49140
g = [('b', 3), ('a', -2), ('b', 1), ('a', -2), ('b', -2), ('a', 1), ('b', -1), ('a', -1), ('b', 1), ('a', -3)] n=10, fixed words = 44271
g = [('a', -1), ('b', -1), ('a', 1), ('b', 2), ('a', -1), ('b', -1), ('a', 1), ('b', -1), ('a', -1), ('b', -3)] n=10, fixed words = 44271
g = [('a', -3), ('b', 1), ('a', 2), ('b', 2), ('a', 2), ('b', -3), ('a', -1), ('b', 3), ('a', -3), ('b', -1)] n=10, fixed words = 49275
g = [('a', 1), ('b', -2), ('a', 1), ('b', -2), ('a', 1), ('b', 1), ('a', 1), ('b', -2), ('a', -1), ('b', -3)] n=10, fixed words = 49005
g = [('a', 1), ('b', -1), ('a', 2), ('b', -1), ('a', 1), ('b', 1), ('a', 3), ('b', 2), ('a', -1), ('b', 3)] n=10, fixed words = 49167
g = [('a', -1), ('b', 2), ('a', -3), ('b', 3), ('a', -3), ('b', 3), ('a', -2), ('b', 2), ('a', 2), ('b', 3)] n=10, fixed words = 44271
g = [('a', -2), ('b', -1), ('a', 3), ('b', -1), ('a', -2), ('b', 2), ('a', -2), ('b', 1), ('a', 2), ('b', -2)] n=10, fixed words = 44271
g = [('a', 1), ('b', -2), ('a', -3), ('b', -1), ('a', -2), ('b', 3), ('a', 3), ('b', 1), ('a', 2), ('b', -2)] n=10, fixed words = 44271
g = [('b', -2), ('a', 3), ('b', -3), ('a', -3), ('b', -1), ('a', -2), ('b', 2), ('a', 3), ('b', 3), ('a', 2)] n=10, fixed words = 49302
