g = [('a', 1), ('b', 3), ('a', 3), ('b', -3), ('a', 3), ('b', -2), ('a', 1), ('b', 3), ('a', 3), ('b', 2)] n=11, fixed words = 147501
g = [('a', -3), ('b', -3), ('a', 2), ('b', 2), ('a', 3), ('b', 1), ('a', 3), ('b', 2), ('a', -3), ('b', -3)] n=11, fixed words = 132813
g = [('b', 2), ('a', 1), ('b', -3), ('a', -1), ('b', 1), ('a', -1), ('b', 1), ('a', 2), ('b', -3), ('a', 3)] n=11, fixed words = 132813
g = [('b', -3), ('a', -1), ('b', 1), ('a', 3), ('b', 2), ('a', 2), ('b', -2), ('a', 3), ('b', 1), ('a', -3)] n=11, fixed words = 132813
g = [('b', 2), ('a', 2), ('b', 1), ('a', 1), ('b', 2), ('a', -3), ('b', 3), ('a', -3), ('b', 1), ('a', -3)] n=11, fixed words = 167535
g = [('b', -2), ('a', 3), ('b', -1), ('a', -3), ('b', 3), ('a', -1), ('b', 2), ('a', 2), ('b', -2), ('a', 2)] n=11, fixed words = 168858
g = [('a', -1), ('b', 3), ('a', -3), ('b', 3), ('a', -2), ('b', 1), ('a', 2), ('b', 3), ('a', 2), ('b', -1)] n=11, fixed words = 152307
g = [('b', -3), ('a', -1), ('b', -3), ('a', 1), ('b', -2), ('a', 1), ('b', 2), ('a', 2), ('b', -2), ('a', -2)] n=11, fixed words = 132813
g = [('b', -1), ('a', 3), ('b', -2), ('a', 1), ('b', 3), ('a', -2), ('b', -2), ('a', 1), ('b', 3), ('a', 2)] n=11, fixed words = 132813
g = [('b', -3), ('a', 3), ('b', 3), ('a', -3), ('b', 2), ('a', -2), ('b', 3), ('a', -3), ('b', -1), ('a', 3)] n=11, fixed words = 132813
g = [('b', -3), ('a', -1), ('b', -3), ('a', -1), ('b', 1), ('a', -1), ('b', 1), ('a', -1), ('b', -1), ('a', 2)] n=11, fixed words = 132813
g = [('a', 1), ('b', 1), ('a', 2), ('b', 1), ('a', 1), ('b', 1), ('a', -2), ('b', 2), ('a', 2), ('b', 3)] n=11, fixed words = 132813
g = [('b', 1), ('a', 1), ('b', -1), ('a', 1), ('b', 1), ('a', 2), ('b', 1), ('a', 1), ('b', 2), ('a', 3)] n=11, fixed words = 132813
g = [('a', -2), ('b', -3), ('a', 1), ('b', -1), ('a', 2), ('b', 2), ('a', -2), ('b', -2), ('a', 3), ('b', 3)] n=11, fixed words = 132813
g = [('b', 1), ('a', 2), ('b', -1), ('a', -2), ('b', 1), ('a', 2), ('b', -1), ('a', 1), ('b', 1), ('a', -1)] n=11, fixed words = 132813
g = [('b', -1), ('a', -2), ('b', -2), ('a', -1), ('b', 2), ('a', -1), ('b', 3), ('a', -1), ('b', -2), ('a', -1)] n=11, fixed words = 168750
g = [('a', 1), ('b', -1), ('a', -2), ('b', -2), ('a', 3), ('b', 2), ('a', 3), ('b', -3), ('a', -1), ('b', -3)] n=11, fixed words = 132813
