g = [('a', 5), ('b', 3), ('a', -4), ('b', 1), ('a', 5), ('b', -5), ('a', 10)] n=7, fixed words = 1863
g = [('a', -2), ('b', -10), ('a', 2), ('b', -2), ('a', -1), ('b', 10), ('a', 4)] n=7, fixed words = 1998
g = [('b', 9), ('a', -5), ('b', 9), ('a', -2), ('b', 1), ('a', 5), ('b', 7)] n=7, fixed words = 1863
g = [('b', 1), ('a', 8), ('b', -7), ('a', 4), ('b', 8), ('a', -9), ('b', -6)] n=7, fixed words = 1998
g = [('b', 10), ('a', -5), ('b', 4), ('a', -5), ('b', 4), ('a', -2), ('b', 7)] n=7, fixed words = 1998
g = [('b', 2), ('a', 9), ('b', -7), ('a', 1), ('b', -9), ('a', -3), ('b', -2)] n=7, fixed words = 1863
g = [('b', -5), ('a', -1), ('b', 5), ('a', -1), ('b', -4), ('a', -5), ('b', 2)] n=7, fixed words = 1863
g = [('a', 2), ('b', 10), ('a', -9), ('b', -1), ('a', 5), ('b', 10), ('a', -2)] n=7, fixed words = 1863
g = [('b', -1), ('a', 4), ('b', 8), ('a', -2), ('b', 6), ('a', 9), ('b', 3)] n=7, fixed words = 1863
g = [('b', 2), ('a', 9), ('b', -4), ('a', -9), ('b', 7), ('a', -5), ('b', 2)] n=7, fixed words = 1863
g = [('b', -10), ('a', -8), ('b', 10), ('a', 9), ('b', -9), ('a', 1), ('b', 1)] n=7, fixed words = 1863
g = [('a', 6), ('b', 7), ('a', 7), ('b', -1), ('a', -1), ('b', -5), ('a', 10)] n=7, fixed words = 1863
g = [('b', 7), ('a', -10), ('b', 10), ('a', -9), ('b', 2), ('a', 1), ('b', -4)] n=7, fixed words = 2160
g = [('a', 1), ('b', 8), ('a', 2), ('b', 4), ('a', -5), ('b', 2), ('a', 4)] n=7, fixed words = 1863
g = [('a', 7), ('b', 8), ('a', 6), ('b', 7), ('a', 8), ('b', -4), ('a', 2)] n=7, fixed words = 1863
g = [('b', -1), ('a', 5), ('b', -5), ('a', 7), ('b', 5), ('a', 2), ('b', 8)] n=7, fixed words = 1863
g = [('a', 10), ('b', -10), ('a', -2), ('b', 9), ('a', 9), ('b', 6), ('a', 10)] n=7, fixed words = 2025
g = [('b', -9), ('a', -2), ('b', 5), ('a', -8), ('b', -4), ('a', 1), ('b', 10)] n=7, fixed words = 2025
g = [('b', 3), ('a', -8), ('b', 9), ('a', -5), ('b', -9), ('a', 9), ('b', -4)] n=7, fixed words = 1863
g = [('b', -3), ('a', -2), ('b', 2), ('a', 10), ('b', -10), ('a', -2), ('b', 10)] n=7, fixed words = 1998
g = [('b', 10), ('a', -9), ('b', 5), ('a', 6), ('b', 8), ('a', -3), ('b', -3)] n=7, fixed words = 1998
g = [('b', -3), ('a', 2), ('b', -7), ('a', 6), ('b', -9), ('a', 7), ('b', 7)] n=7, fixed words = 2133
g = [('b', 8), ('a', -8), ('b', 2), ('a', 5), ('b', -6), ('a', 7), ('b', 6)] n=7, fixed words = 1863
g = [('a', -3), ('b', -10), ('a', 3), ('b', 5), ('a', 4), ('b', 3), ('a', 5)] n=7, fixed words = 2025
g = [('b', -6), ('a', 7), ('b', 3), ('a', -10), ('b', 2), ('a', 2), ('b', 6)] n=7, fixed words = 1863
g = [('b', 4), ('a', 2), ('b', -10), ('a', -10), ('b', 6), ('a', -2), ('b', -5)] n=7, fixed words = 1863
g = [('b', -10), ('a', 7), ('b', 5), ('a', 9), ('b', -5), ('a', -5), ('b', 5)] n=7, fixed words = 1863
g = [('b', 9), ('a', 4), ('b', -3), ('a', -9), ('b', -9), ('a', -8), ('b', 6)] n=7, fixed words = 1998
g = [('a', 1), ('b', 10), ('a', 4), ('b', -6), ('a', 5), ('b', -6), ('a', -7)] n=7, fixed words = 1998
g = [('a', 5), ('b', 4), ('a', -4), ('b', 8), ('a', -6), ('b', 6), ('a', -1)] n=7, fixed words = 2160
g = [('b', 9), ('a', 5), ('b', 10), ('a', 10), ('b', -10), ('a', 10), ('b', 7)] n=7, fixed words = 1863
g = [('a', 7), ('b', -10), ('a', 8), ('b', 8), ('a', -6), ('b', -8), ('a', 9)] n=7, fixed words = 2025
g = [('b', -4), ('a', 1), ('b', -3), ('a', 5), ('b', 4), ('a', -2), ('b', 1)] n=7, fixed words = 1863
g = [('a', 4), ('b', -10), ('a', -3), ('b', 8), ('a', -5), ('b', 1), ('a', 7)] n=7, fixed words = 1998
g = [('a', -2), ('b', -8), ('a', -7), ('b', 3), ('a', 6), ('b', 8), ('a', 10)] n=7, fixed words = 1998
g = [('b', 2), ('a', -8), ('b', 4), ('a', 8), ('b', 4), ('a', 4), ('b', -2)] n=7, fixed words = 1863
g = [('b', 7), ('a', -7), ('b', -2), ('a', -2), ('b', -1), ('a', 1), ('b', -9)] n=7, fixed words = 1863
g = [('b', -1), ('a', -8), ('b', 8), ('a', 9), ('b', -5), ('a', -3), ('b', 8)] n=7, fixed words = 1863
g = [('a', -5), ('b', 1), ('a', -3), ('b', -7), ('a', 4), ('b', 10), ('a', 8)] n=7, fixed words = 1863
g = [('a', 9), ('b', 2), ('a', -1), ('b', -2), ('a', 5), ('b', 5), ('a', 5)] n=7, fixed words = 2025
g = [('a', 3), ('b', -8), ('a', -8), ('b', 1), ('a', 3), ('b', 7), ('a', -7)] n=7, fixed words = 2187
g = [('b', -1), ('a', 3), ('b', 10), ('a', 2), ('b', 5), ('a', -5), ('b', 2)] n=7, fixed words = 2025
g = [('b', -3), ('a', 5), ('b', -6), ('a', 5), ('b', -10), ('a', -4), ('b', 9)] n=7, fixed words = 1998
g = [('a', 2), ('b', -1), ('a', -1), ('b', -10), ('a', 2), ('b', -9), ('a', 10)] n=7, fixed words = 1863
g = [('a', -6), ('b', 1), ('a', 10), ('b', -3), ('a', -10), ('b', -9), ('a', -1)] n=7, fixed words = 1863
g = [('b', 9), ('a', -7), ('b', -6), ('a', 3), ('b', -4), ('a', 2), ('b', 7)] n=7, fixed words = 1998
g = [('a', -3), ('b', -7), ('a', 6), ('b', -9), ('a', 4), ('b', 8), ('a', -8)] n=7, fixed words = 1863
g = [('b', -7), ('a', -10), ('b', 9), ('a', 5), ('b', -9), ('a', -9), ('b', 9)] n=7, fixed words = 1863
g = [('b', 9), ('a', 7), ('b', 6), ('a', -9), ('b', -8), ('a', -2), ('b', -7)] n=7, fixed words = 2025
g = [('a', -7), ('b', 2), ('a', -3), ('b', 6), ('a', 6), ('b', 10), ('a', 5)] n=7, fixed words = 2025
g = [('a', 9), ('b', 3), ('a', 8), ('b', -2), ('a', 10), ('b', 1), ('a', -4)] n=7, fixed words = 1863
g = [('a', 1), ('b', -9), ('a', -8), ('b', -6), ('a', 4), ('b', 1), ('a', 5)] n=7, fixed words = 1863
g = [('b', 7), ('a', 3), ('b', -1), ('a', 7), ('b', -6), ('a', -2), ('b', -3)] n=7, fixed words = 1998
g = [('a', 3), ('b', 6), ('a', 7), ('b', 4), ('a', 1), ('b', 10), ('a', -8)] n=7, fixed words = 1998
g = [('a', 9), ('b', 9), ('a', -10), ('b', 7), ('a', -8), ('b', -7), ('a', -1)] n=7, fixed words = 2025
g = [('b', 9), ('a', -9), ('b', -8), ('a', -7), ('b', -5), ('a', -4), ('b', 3)] n=7, fixed words = 1863
g = [('b', -1), ('a', -7), ('b', 1), ('a', 1), ('b', -3), ('a', -2), ('b', 4)] n=7, fixed words = 1863
g = [('a', -9), ('b', 10), ('a', -3), ('b', -5), ('a', -8), ('b', 7), ('a', -6)] n=7, fixed words = 1998
g = [('b', -5), ('a', 5), ('b', 10), ('a', -3), ('b', -8), ('a', 3), ('b', 7)] n=7, fixed words = 1863
g = [('a', -8), ('b', 3), ('a', -5), ('b', -10), ('a', 8), ('b', -3), ('a', -3)] n=7, fixed words = 1863
g = [('a', -2), ('b', 9), ('a', 4), ('b', -4), ('a', 8), ('b', 10), ('a', 3)] n=7, fixed words = 1998
g = [('b', -6), ('a', -8), ('b', -9), ('a', -5), ('b', -10), ('a', -1), ('b', -9)] n=7, fixed words = 1863
g = [('b', -2), ('a', 1), ('b', -5), ('a', -9), ('b', 7), ('a', 9), ('b', -7)] n=7, fixed words = 1863
g = [('a', 5), ('b', -9), ('a', -4), ('b', 5), ('a', -4), ('b', 1), ('a', -5)] n=7, fixed words = 1998
g = [('a', 7), ('b', 10), ('a', 7), ('b', 10), ('a', -6), ('b', 1), ('a', 8)] n=7, fixed words = 1998
g = [('a', 6), ('b', 5), ('a', 1), ('b', -5), ('a', 6), ('b', 1), ('a', -3)] n=7, fixed words = 1863
g = [('b', -8), ('a', 2), ('b', -2), ('a', -2), ('b', -3), ('a', -5), ('b', -10)] n=7, fixed words = 1863
g = [('b', 9), ('a', 6), ('b', -9), ('a', -4), ('b', -1), ('a', -8), ('b', -2)] n=7, fixed words = 2133
g = [('a', -4), ('b', -10), ('a', 4), ('b', 8), ('a', -9), ('b', 1), ('a', 7)] n=7, fixed words = 1863
g = [('a', -5), ('b', -3), ('a', 3), ('b', 2), ('a', 5), ('b', 7), ('a', -9)] n=7, fixed words = 2133
g = [('a', -10), ('b', -9), ('a', -4), ('b', -1), ('a', 5), ('b', -8), ('a', 4)] n=7, fixed words = 2025
g = [('a', -9), ('b', 9), ('a', 9), ('b', 10), ('a', 3), ('b', -6), ('a', 4)] n=7, fixed words = 1863
g = [('a', 5), ('b', 8), ('a', -6), ('b', 6), ('a', 1), ('b', 10), ('a', 5)] n=7, fixed words = 1998
g = [('a', 8), ('b', -6), ('a', 5), ('b', 3), ('a', -1), ('b', 8), ('a', 2)] n=7, fixed words = 1863
g = [('b', -1), ('a', -10), ('b', 6), ('a', 2), ('b', -7), ('a', 7), ('b', 10)] n=7, fixed words = 1863
g = [('b', -4), ('a', -2), ('b', 6), ('a', 2), ('b', 4), ('a', -8), ('b', -3)] n=7, fixed words = 1998
g = [('b', 10), ('a', 7), ('b', 3), ('a', 6), ('b', 6), ('a', -4), ('b', 5)] n=7, fixed words = 2160
g = [('b', -8), ('a', -6), ('b', -3), ('a', 5), ('b', -9), ('a', -9), ('b', 10)] n=7, fixed words = 1863
g = [('b', 9), ('a', 6), ('b', 1), ('a', -2), ('b', -2), ('a', 8), ('b', -9)] n=7, fixed words = 1998
g = [('b', 8), ('a', 10), ('b', 4), ('a', 7), ('b', 7), ('a', -8), ('b', 9)] n=7, fixed words = 2025
