g = [('a', -3), ('b', 7), ('a', -5), ('b', 10), ('a', -5), ('b', 4), ('a', -3)] n=9, fixed words = 17118
g = [('b', 4), ('a', -10), ('b', -8), ('a', 5), ('b', 1), ('a', 7), ('b', 4)] n=9, fixed words = 15687
g = [('a', -2), ('b', 6), ('a', -9), ('b', 7), ('a', 2), ('b', 3), ('a', -10)] n=9, fixed words = 15687
g = [('a', 3), ('b', -10), ('a', 7), ('b', -6), ('a', 7), ('b', -10), ('a', -8)] n=9, fixed words = 17523
g = [('a', -3), ('b', -5), ('a', 5), ('b', 7), ('a', 2), ('b', -7), ('a', -3)] n=9, fixed words = 15687
g = [('b', 9), ('a', -10), ('b', 10), ('a', 9), ('b', -10), ('a', -5), ('b', 4)] n=9, fixed words = 17145
g = [('a', 4), ('b', 8), ('a', 2), ('b', -4), ('a', 3), ('b', 3), ('a', -3)] n=9, fixed words = 17118
g = [('b', -1), ('a', 2), ('b', 6), ('a', -3), ('b', -6), ('a', -8), ('b', 4)] n=9, fixed words = 19116
g = [('a', -3), ('b', 8), ('a', -7), ('b', -2), ('a', -6), ('b', 10), ('a', -6)] n=9, fixed words = 15687
g = [('b', 8), ('a', -4), ('b', -10), ('a', -10), ('b', -5), ('a', -10), ('b', -7)] n=9, fixed words = 17091
g = [('a', 9), ('b', 3), ('a', 2), ('b', -6), ('a', 9), ('b', 10), ('a', -3)] n=9, fixed words = 15687
g = [('a', -5), ('b', -9), ('a', 1), ('b', 10), ('a', 5), ('b', 5), ('a', 5)] n=9, fixed words = 18603
g = [('b', -2), ('a', 9), ('b', 10), ('a', 8), ('b', 10), ('a', 4), ('b', -5)] n=9, fixed words = 17145
g = [('a', -4), ('b', -8), ('a', -10), ('b', 6), ('a', -10), ('b', 5), ('a', -1)] n=9, fixed words = 17118
g = [('b', -5), ('a', 8), ('b', 2), ('a', -9), ('b', -10), ('a', -7), ('b', -1)] n=9, fixed words = 15687
